E	ee0 
EXAMINATIVE	ee0 sxxm0 mi3 nee0 thiif1
EXAMINATON	ee0 sxxm0 mi3 nee0 than2
EXAMINATOR	ee0 sxxm0 mi3 nee0 tqq2
EXAMINATORIAL	ee0 sxxm0 mi3 nee0 th@@0 riial0
EXAMINATORY	ee0 sxxm0 mi3 nee0 thql0 rii2
EXAMINE	ee0 sxxm0 min0
EXAMINED	ee0 sxxm0 min3
EXAMINEE	ee0 sxxm0 mi3 nii2
EXAMINEES	ee0 sxxm0 mi3 niis3
EXAMINEES	ee0 sxxm0 min0
EXAMINER	ee0 sxxm0 mi3 nqq2
EXAMINERS	ee0 sxxm0 mi3 nees1
EXAMINES	ee0 sxxm0 min0
EXAMING	ee0 sxxm0 ming2
EXAMINING	ee0 sxxm0 mi3 ning2
EXAMININGLY	ee0 sxxm0 mi3 ning2 lii2
EXAMININGS	ee0 sxxm0 mi3 ning2
EXAMINS	ee0 sxxm0 min0
EXAMPLAR	ee0 seem0 phlqq2
EXAMPLARS	ee0 seem0 phlqq2
EXAMPLARY	ee0 seem0 phloo0 rii2
EXAMPLE	ee0 saam0 pql2
EXAMPLED	ee0 saam0 pql2
EXAMPLES	ee0 saam0 pql2
EXAMPLIFIED	ee0 saam0 phli1 faaj0
EXAMPLIFY	ee0 saam0 phli1 faaj0
EXAMPLING	ee0 saam0 pling2
EXAMPLY	ee0 saam0 plii2
EXAMS	ee0 sxxm0
EXARCHATE	ee0 saa0 kheet1
EXARCHS	ee0 saak3
EXASPERATE	ee0 xxs3 pql0 reet1
EXASPERATED	ee0 xxs3 pql0 reet3 thet1
EXASPERATEDLY	ee0 xxs3 pql0 reet3 thet1 lii2
EXASPERATER	ee0 xxs3 pql0 ree0 tqq2
EXASPERATES	ee0 xxs3 pql0 reet1
EXASPERATING	ee0 xxs3 pql0 reet1 ting2
EXASPERATINGLY	ee0 xxs3 pql0 reet1 ting2 lii2
EXASPERATION	ee0 xxs3 pql0 ree0 chan0
EXASPERATIONS	ee0 xxs3 pql0 ree0 chan0
EXASPERATOR	ee0 xxs3 pql0 ree0 tqq2
EXASPERATUS	ee0 xxs3 pql0 ree0 tqq2
EXCAVATE	ee0 khql0 weet1
EXCAVATED	ee0 khql0 weet3 thet1
EXCAVATES	ee0 khql0 weet1
EXCAVATING	ee0 khql0 weet3 ting2
EXCAVATION	ee0 khql0 wee0 chan0
EXCAVATIONAL	ee0 khql0 wee0 chan0 nal0
EXCAVATIONIST	ee0 khql0 wee0 chan0 nis3
EXCAVATIONS	ee0 khql0 wee0 chan0
EXCAVATOR	ee0 khql0 weet3 tqq2
EXCAVATOR	ee0 khql0 weet3 tqq2
EXCAVATORS	ee0 khql0 weet3 tqq2
EXCEED	ee0 siit1
EXCEEDED	ee0 siit1 det1
EXCEEDEDING	ee0 siit1 dit1 ding2
EXCEEDER	ee0 siit1 dqq2
EXCEEDERS	ee0 siit1 dqq2
EXCEEDES	ee0 siit1 des1
EXCEEDING	ee0 siit1 ding2
EXCEEDINGLY	ee0 siit1 ding2 lii2
EXCEEDS	ee0 siit1
EXCEL	ee0 seel0
EXCELED	ee0 seel0
EXCELER	ee0 seel0 lqq2
EXCELERATOR	ee0 seel0 loo0 ree0 tqq2
EXCELL	ee0 seel0
EXCELLANT	ee0 seel0 lxxn0
EXCELLD	ee0 seel0
EXCELLED	ee0 seel0
EXCELLENCE	ee0 sql0 lqn2
EXCELLENCES	ee0 sql0 lqn2 ses1
EXCELLENCIES	ee0 sql0 lqn2 ses1
EXCELLENCY	ee0 sql0 lqn2 sii2
EXCELLENS	ee0 seel0 leen0
EXCELLENT	ee0 sql0 len3
EXCELLENTLY	ee0 sql0 len3 lii2
EXCELLENTS	ee0 sql0 len3
EXCELLING	ee0 seel0 ling2
EXCELLS	ee0 seel0
EXCELLULAR	ee0 seel0 luu0 laa2
EXCELS	ee0 seel0
EXCELSIOR	ee0 seel0 si1 qq2
EXCELSIORS	ee0 seel0 si1 qs2
EXCELSIS	ee0 seel0 sis1
EXCELSIUS	ee0 seel0 si1 as2
EXCELSO	ee0 seel0 soo2
EXCEPT	ee0 sep3
EXCEPTANT	ee0 sep3 ten3
EXCEPTED	ee0 sep3 thet1
EXCEPTIBLE	ee0 sep3 thi1 bql2
EXCEPTING	ee0 sep3 ting2
EXCEPTION	ee0 sep3 chan0
EXCEPTIONABILITY	ee0 sep3 chan0 ql0 bi1 li3 tii2
EXCEPTIONABLE	ee0 sep3 chan0 nql0 bql2
EXCEPTIONABLENESS	ee0 sep3 chan0 nql0 bql2 nees1
EXCEPTIONABLY	ee0 sep3 chan0 nql0 blii2
EXCEPTIONAL	ee0 sep3 chan0 nal0
EXCEPTIONALISM	ee0 sep3 chqq0 nql0 is3 svm2
EXCEPTIONALITY	ee0 sep3 chan0 nal0 li3 tii2
EXCEPTIONALLY	ee0 sep3 chan0 nal0 lii2
EXCEPTIONALS	ee0 sep3 chqq0 nql2
EXCEPTIONLESS	ee0 sep3 chan0 les1
EXCEPTIONS	ee0 sep3 chan0
EXCEPTIVE	ee0 sep3 thiif1
EXCEPTIVELY	ee0 sep3 thiif1 lii2
EXCEPTIVENESS	ee0 sep3 thiif1 nees1
EXCEPTOR	ee0 sep3 tqq2
EXCEPTS	ee0 sep3
EXCERPT	ee0 sqqp3
EXCERPTED	ee0 sqqp3 thet1
EXCERPTING	ee0 sqqp3 ting2
EXCERPTION	ee0 sqqp3 chan0
EXCERPTIONS	ee0 sqqp3 chan0
EXCERPTS	ee0 sqqp3
EXCESS	ik3 ses3
EXCESS	ik3 ses3
EXCESSED	ik3 ses3
EXCESSED	ik3 ses3
EXCESSES	ik3 ses3 ses1
EXCESSIBILITY	ik3 ses3 bi1 li3 tii2
EXCESSIBLE	ik3 ses3 si1 bql2
EXCESSIVE	ik3 ses3 siif1
EXCESSIVELY	ik3 ses3 siif1 lii2
EXCESSIVENESS	ik3 ses3 siif1 nees1
EXCESSORIES	ik3 ses3 s@@0 ris1
EXCHANGE	ee0 cheeng3
EXCHANGEABILITY	ee0 cheeng3 cql0 bi1 li3 tii2
EXCHANGEABLE	ee0 cheeng3 cql0 bql2
EXCHANGEABLES	ee0 cheeng3 cql0 bql2
EXCHANGEABLY	ee0 cheeng3 cql0 blii2
EXCHANGED	ee0 cheeng3
EXCHANGEE	ee0 cheeng3 cii2
EXCHANGEES	ee0 cheeng3 cii2
EXCHANGER	ee0 cheeng3 cqq2
EXCHANGERS	ee0 cheeng3 cqs2
EXCHANGES	ee0 cheeng3 cis1
EXCHANGEWAYS	ee0 cheeng3 wee0
EXCHANGING	ee0 cheeng3 cing2
EXCHEQUE	ee0 chek3
EXCHEQUER	ee0 chek3 kqq2
EXCHEQUERS	ee0 chek3 kqs2
EXCISABLE	ee0 saj3 se1 bql2
EXCISE	ee0 saj3
EXCISED	ee0 saj3
EXCISEMAN	ee0 saj3 mqn2
EXCISEMANSHIP	ee0 saj3 mqn2 chip3
EXCISEMEN	ee0 saj3 men0
EXCISES	ee0 saj3 ses1
EXCISING	ee0 saj3 sing2
EXCISION	ee0 si1 chan0
EXCISIONS	ee0 si1 chan0
EXCITABILITIES	ee0 saj3 thql0 bi1 li3 tii2
EXCITABILITY	ee0 saj3 thql0 bi1 li3 tii2
EXCITABLE	ee0 saj3 thi1 bql2
EXCITABLENESS	ee0 saj3 thi1 bql2 nees1
EXCITABLY	ee0 saj3 thql0 blii2
EXCITANCY	ee0 saj3 then0 sii2
EXCITANT	ee0 saj3 then3
EXCITANTS	ee0 saj3 then3
EXCITATION	ee0 saj3 thqq0 chan0
EXCITATIONS	ee0 saj3 thqq0 chan0
EXCITATIVE	ee0 saj3 thql0 thiif1
EXCITATORY	ee0 saj3 tql0 thql0 rii2
EXCITE	ee0 saj3
EXCITED	ee0 saj3 thet1
EXCITEDLY	ee0 saj3 thet1 lii2
EXCITEDNESS	ee0 saj3 thet1 nees1
EXCITEMENT	ee0 saj3 men3
EXCITEMENTS	ee0 saj3 men3
EXCITER	ee0 saj3 tqq2
EXCITERS	ee0 saj3 tqs2
EXCITES	ee0 saj3
EXCITIN	ee0 saj3 thin2
EXCITING	ee0 saj3 ting2
EXCITINGLY	ee0 saj3 ting2 lii2
EXCLAIM	ee0 kleem0
EXCLAIMD	ee0 kleem0
EXCLAIMED	ee0 kleem0
EXCLAIMER	ee0 kleem0 mqq2
EXCLAIMERS	ee0 kleem0 mqs2
EXCLAIMING	ee0 kleem0 ming2
EXCLAIMINGLY	ee0 klee0 ming2 lii2
EXCLAIMS	ee0 kleem0
EXCLAMATION	ee0 kl@m2 mee1 chan0
EXCLAMATIONAL	ee0 kl@m2 mee1 chan0 nal0
EXCLAMATIONS	ee0 kl@m2 mee1 chan0
EXCLAMATORILY	ee0 kl@m0 mee3 thql0 ril0 lii2
EXCLAMATORY	ee0 kl@m0 mee3 thrii2
EXCLAVE	ee0 kleef3 
EXCLAVES	ee0 kleef3 
EXCLUDE	ee0 kluut3
EXCLUDED	ee0 kluut3 det1
EXCLUDEDS	ee0 kluut3 det1
EXCLUDER	ee0 kluut3 dqq2
EXCLUDERS	ee0 kluut3 dqs2
EXCLUDES	ee0 kluut3
EXCLUDING	ee0 kluut3 ding2
EXCLUDINGLY	ee0 kluut3 ding2 lii2
EXCLUED	ee0 kluut3
EXCLUSION	ee0 kluu0 chan0
EXCLUSIONISM	ee0 kluu0 chan0 nis3 svm2
EXCLUSIONIST	ee0 kluu0 chan0 nis3
EXCLUSIONISTS	ee0 kluu0 chan0 nis3
EXCLUSIONS	ee0 kluu0 chan0
EXCLUSIVE	ee0 kluu0 siif1
EXCLUSIVELY	ee0 kluu0 siif1 lii2
EXCLUSIVENESS	ee0 kluu0 siif1 nees1
EXCLUSIVES	ee0 kluu0 siif1
EXCLUSIVISM	ee0 kluu0 si1 wis3 svm2
EXCLUSIVIST	ee0 kluu0 si1 wis3
EXCLUSIVITIES	ee0 kluu0 si1 wi3 tii2
EXCLUSIVITY	ee0 kluu0 si1 wi3 tii2
EXCLUSORY	ee0 kluu0 sa1 rii2
EXCOGITATE	ee0 khoo0 ci1 theet1
EXCOGITATED	ee0 khoo0 ci1 theet3 thet1
EXCOGITATES	ee0 khoo0 ci1 theet1
EXCOGITATING	ee0 khoo0 ci1 thqq0 ting2
EXCOGITATION	ee0 khoo0 ci1 thqq0 chan0
EXCOGITATIONS	ee0 khoo0 ci1 thqq0 chan0
EXCOGITATIVE	ee0 khoo0 ci1 thqq0 thiif1
EXCOGITATOR	ee0 khoo0 ci1 thqq0 tqq2
EXCOMMUNICABLE	ee0 khql0 miw0 ni3 khql0 bql2
EXCOMMUNICANT	ee0 khql0 miw0 ni3 khen3
EXCOMMUNICANTS	ee0 khql0 miw0 ni3 khen3
EXCOMMUNICATE	ee0 khql0 miw0 ni3 kheet1
EXCOMMUNICATED	ee0 khql0 miw0 ni3 khee0 thet1
EXCOMMUNICATES	ee0 khql0 miw0 ni3 kheet1
EXCOMMUNICATING	ee0 khql0 miw0 ni3 khee3 ting2
EXCOMMUNICATION	ee0 khql0 miw0 ni3 khee0 chan0
EXCOMMUNICATIONS	ee0 khql0 miw0 ni3 khee0 chan0
EXCOMMUNICATIVE	ee0 khql0 miw0 ni3 khee0 thiif1
EXCOMMUNICATOR	ee0 khql0 miw0 ni3 khee3 tqq2
EXCOMMUNICATORS	ee0 khql0 miw0 ni3 khee3 tqs2
EXCORIATE	ee0 khoo0 ri3 eet1
EXCORIATED	ee0 khoo0 ri3 eet3 thet1
EXCORIATES	ee0 khoo0 ri3 eet1
EXCORIATING	ee0 khoo0 ri3 eet3 ting2
EXCORIATION	ee0 khoo0 ri3 ee0 chan0
EXCORIATIONS	ee0 khoo0 ri3 ee0 chan0
EXCORIATOR	ee0 khoo0 ri3 ee0 tqq2
EXCORT	ee0 khoot1
EXCORTICATION	ee0 khoot1 thi1 khee0 chan0
EXCORTS	ee0 khoot1
EXCREMENT	ee0 kr@m0 men3
EXCREMENTAL	ee0 kri3 men0 thql2
EXCREMENTALLY	ee0 kr@m0 mqn2 thxx0 laaj0
EXCREMENTARY	ee0 kri3 men0 tql0 rii2
EXCREMENTITIOUS	ee0 kri3 men0 ti1 chqq2
EXCREMENTITIOUSLY	ee0 kri3 men0 ti1 chqs2 lii2
EXCREMENTITIOUSNESS	ee0 kri3 men0 ti1 chqs2 nees1
EXCREMENTIVE	ee0 kri3 men0 thiif1
EXCREMENTORY	ee0 kr@m0 mqn2 thrii2
EXCREMENTS	ee0 kr@m0 men3
EXCRESCE	ee0 kres3
EXCRESCENCE	ee0 kres3 sen3
EXCRESCENCES	ee0 kres3 sen2 ses1
EXCRESCENCY	ee0 kres3 sen2 sii2
EXCRESCENT	ee0 kres3 sen2
EXCRESCENTLY	ee0 kres3 sen2 lii2
EXCRETA	ee0 krii0 tqq2
EXCRETE	ee0 kriit1
EXCRETED	ee0 krii0 thet1
EXCRETER	ee0 krii0 tqq2
EXCRETERS	ee0 krii0 tqq2
EXCRETES	ee0 kriit1
EXCRETING	ee0 krii0 ting2
EXCRETION	ee0 krii0 chan0
EXCRETIONARY	ee0 krii0 chan0 nq2 rii2
EXCRETIONS	ee0 krii0 chan0
EXCRETIVE	ee0 krii0 thiif1
EXCRETORY	ee0 krii0 thql0 rii2
EXCRUCIATE	ee0 kruuch3 chi1 eet1
EXCRUCIATED	ee0 kruuch3 chi1 eet3 thet1
EXCRUCIATES	ee0 kruuch3 chi1 eet1
EXCRUCIATING	ee0 kruuch3 chi1 eet3 ting2
EXCRUCIATINGLY	ee0 kruuch3 chi1 eet3 ting2 lii2
EXCRUCIATION	ee0 kruuch3 chi1 ee0 chan0
EXCRUCIATOR	ee0 kruuch3 chi1 ee0 tqq2
EXCRUCIATORS	ee0 kruuch3 chi1 ee0 tqq2
EXCULPABLE	ee0 khal0 pql0 bql2
EXCULPATE	ee0 khal0 pheet1
EXCULPATED	ee0 khal0 phee0 thet1
EXCULPATES	ee0 khal0 phee0
EXCULPATING	ee0 khal0 pheet3 ting2
EXCULPATION	ee0 khal0 phee0 chan0
EXCULPATIONS	ee0 khal0 phee0 chan0
EXCULPATIVE	ee0 khal0 phee0 thiif1
EXCULPATORILY	ee0 khal0 phee0 thql0 ril0 lii2
EXCULPATORY	ee0 khal0 phee0 thql0 rii2
EXCURSE	ee0 kqq2
EXCURSES	ee0 kqq0 ses1
EXCURSION	ee0 kqq0 chan0
EXCURSIONARY	ee0 kqq0 chan0 nq2 rii2
EXCURSIONER	ee0 kqq0 chan0 nqq2
EXCURSIONISE	ee0 kqq0 chan0 nees1
EXCURSIONISES	ee0 kqq0 chan0 nis1 ses1
EXCURSIONISM	ee0 kqq0 chan0 nis3 svm2
EXCURSIONIST	ee0 kqq0 chan0 nis3
EXCURSIONISTS	ee0 kqq0 chan0 nis3
EXCURSIONIZE	ee0 kqq0 chan0 naj3
EXCURSIONIZES	ee0 kqq0 chan0 naj3 ses1
EXCURSIONS	ee0 kqq0 chan0
EXCURSIVE	ee0 kqq0 siif1
EXCURSIVELY	ee0 kqq0 siif1 lii2
EXCURSIVENESS	ee0 kqq0 siif1 nees1
EXCURSORY	ee0 kqq0 sa1 rii2
EXCURSUS	ee0 kqq0 sqqs2
EXCURSUSES	ee0 kqq0 sqs1 ses1
EXCUSABILITY	ee0 khiw0 sa1 bi1 li3 tii2
EXCUSABLE	ee0 khiw0 sa1 bql2
EXCUSABLENESS	ee0 khiw0 sa1 bql2 nees1
EXCUSABLY	ee0 khiw0 sa1 blii2
EXCUSATIVE	ee0 khiw0 sa1 thiif1
EXCUSATORY	ee0 khiw0 sa1 tql0 rii2
EXCUSE	ee0 khiw0
EXCUSED	ee0 khiw0
EXCUSEFULLY	ee0 khiw0 fql2 lii2
EXCUSELESS	ee0 khiw0 lees1
EXCUSER	ee0 khiw0 sqq2
EXCUSERS	ee0 khiw0 sqqs2
EXCUSES	ee0 khiw0 ses1
EXCUSING	ee0 khiw0 sing2
EXCUSINGLY	ee0 khiw0 sing2 lii2
EXCUSINGS	ee0 khiw0 sing2
EXEAT	ee0 siit1
EXEATS	ee0 siit1
EXECRABILIS	ee0 si1 khrql0 bi1 lis3
EXECRABLE	ee0 si1 khrql0 bql2
EXECRABLENESS	ee0 si1 khrql0 bql2 nees1
EXECRABLY	ee0 si1 khrql0 blii2
EXECRATE	ee0 si1 khreet1
EXECRATED	ee0 si1 khreet3 thet1
EXECRATES	ee0 si1 khreet1
EXECRATING	ee0 si1 khreet3 ting2
EXECRATION	ee0 si1 khree0 chan0
EXECRATIONS	ee0 si1 khree0 chan0
EXECRATIVE	ee0 si1 khree0 thiif1
EXECRATIVELY	ee0 si1 khree0 thiif1 lii2
EXECRATOR	ee0 si1 khree0 tqq2
EXECRATORS	ee0 si1 khree0 tqs2
EXECRATORY	ee0 si1 khree0 thql0 rii2
EXECRETARY	ee0 si1 khree0 thql0 rii2
EXECUTABLE	ee0 si1 khiw3 thi1 bql2
EXECUTABLES	ee0 si1 khiw3 thi1 bql2
EXECUTANCY	ee0 khiw3 then0 sii2
EXECUTANT	ee0 khiw3 then3
EXECUTANTS	ee0 khiw3 then3
EXECUTE	ee0 khiw3
EXECUTED	ee0 khiw3 thet1
EXECUTEE	ee0 khiw3 tii2
EXECUTER	ee0 khiw3 tqq2
EXECUTERS	ee0 khiw3 tqs2
EXECUTES	ee0 khiw3
EXECUTIES	ee0 khiw3 tii2
EXECUTING	ee0 khiw3 ting2
EXECUTION	ee0 khiw3 chan0
EXECUTIONAL	ee0 khiw3 chan0 nal0
EXECUTIONEERING	ee0 khiw3 chan0 niia0 ring2
EXECUTIONER	ee0 khiw3 chan0 nqq2
EXECUTIONERS	ee0 khiw3 chan0 nees1
EXECUTIONIST	ee0 khiw3 chan0 nis3
EXECUTIONS	ee0 khiw3 chan0
EXECUTIVE	ee0 khiw3 thiif1
EXECUTIVELY	ee0 khiw3 thiif1 lii2
EXECUTIVENESS	ee0 khiw3 thiif1 nees1
EXECUTIVES	ee0 khiw3 thiif1
EXECUTIVING	ee0 khiw3 thiif1 wing2
EXECUTOR	ee0 khiw3 tqq2
EXECUTORSHIP	ee0 khiw3 thql0 chip3
EXECUTORSHIPS	ee0 khiw3 thql0 chip3
EXECUTORY	ee0 khiw3 thql0 rii2
EXECUTRIX	ee0 khiw3 trik1
EXECUTRIXES	ee0 khiw3 trik3 ses1
EXEGESIS	ee0 si1 cii0 sis1
EXEGETIC	ee0 si1 cqq0 tik1
EXEGETICAL	ee0 si1 cqq0 ti1 khql2
EXEGETICALLY	ee0 si1 cqq0 ti1 khql2 lii2
EXEGETICS	ee0 si1 cqq0 tik1
EXEMPLAR	ee0 seem0 phlqq2
EXEMPLARISM	ee0 seem0 phloo0 is3 svm2
EXEMPLARITY	ee0 seem0 phlxx0 ri3 tii2
EXEMPLARS	ee0 seem0 phlqs2
EXEMPLARY	ee0 seem0 phloo0 rii2
EXEMPLE	ee0 seem0 phql2
EXEMPLI	ee0 seem0 phlii2
EXEMPLIFIABLE	ee0 seem0 phli3 faaj0 ql0 bql2
EXEMPLIFICATION	ee0 seem0 phlif3 fi1 khee0 chan0
EXEMPLIFICATIONAL	ee0 seem0 phlif3 fi1 khee0 chan0 nal0
EXEMPLIFICATIONS	ee0 seem0 phlif3 fi1 khee0 chan0
EXEMPLIFICATIVE	ee0 seem0 phlif3 fik3 khql0 thiif1
EXEMPLIFICATOR	ee0 seem0 phlif3 fik3 keet3 tqq2
EXEMPLIFICATORY	ee0 seem0 phlif3 fik3 keet3 thql0 rii2
EXEMPLIFIED	ee0 seem0 phli3 faaj3
EXEMPLIFIER	ee0 seem0 phli3 faaj0 qq2
EXEMPLIFIERS	ee0 seem0 phli3 faaj0 qq2
EXEMPLIFIES	ee0 seem0 phli3 faaj3
EXEMPLIFY	ee0 seem0 phli3 faaj0
EXEMPLIFYING	ee0 seem0 phli3 faaj0 ing2
EXEMPLOYEES	ee0 seem0 phl@@j0 jii2
EXEMPLUM	ee0 seem0 phlam2
EXEMPT	ee0 seem3
EXEMPTATION	ee0 seem0 thqq0 chan0
EXEMPTED	ee0 seem0 thet1
EXEMPTIBLE	ee0 seem0 thi1 bql2
EXEMPTING	ee0 seem0 ting2
EXEMPTION	ee0 seem0 chan0
EXEMPTIONS	ee0 seem0 chan0
EXEMPTIVE	ee0 seem0 thiif1
EXEMPTS	ee0 seem3
EXEQUATUR	ee0 si1 khweet3 tqq2
EXEQUIES	ee0 si1 khwis3
EXEQUIN	ee0 si1 khwin2
EXERCISABLE	ee0 sqq0 saj3 bql2
EXERCISE	ee0 sqq0 saj3
EXERCISED	ee0 sqq0 saj3
EXERCISER	ee0 sqq0 saj3 sqq2
EXERCISERS	ee0 sqq0 saj3 sqq2
EXERCISES	ee0 sqq0 saaj0 ses1
EXERCISING	ee0 sqq0 saj3 sing2
EXERCISM	ee0 sqq0 sis3 svm2
EXERCITANT	ee0 sqq0 sit3 then3
EXERCITATION	ee0 sqq0 sit3 thqq0 chan0
EXERCITOR	ee0 sqq0 sit3 tqq2
EXERGUE	ee0 sqqk3
EXERT	ee0 sqqt1
EXERTED	ee0 sqq0 thet1
EXERTING	ee0 sqq0 ting2
EXERTION	ee0 sqq0 chan0
EXERTIONLESS	ee0 sqq0 chan0 nal0 les1
EXERTIONS	ee0 sqq0 chan0
EXERTIVE	ee0 sqq0 thiif1
EXERTS	ee0 sqqt1
EXES	ee0 ses1
EXETER	ee0 sit3 tqq2
EXEUNT	ee0 sii0 an2
EXFOLIANT	ee0 foo0 liian2
EXFOLIANTS	ee0 foo0 liian2
EXFOLIATE	ee0 foo0 li2 eet1
EXFOLIATED	ee0 foo0 li2 eet3 thet1
EXFOLIATES	ee0 foo0 li2 eet1
EXFOLIATING	ee0 foo0 li2 eet3 ting2
EXFOLIATION	ee0 foo0 li2 ee0 chan0
EXFOLIATOR	ee0 foo0 li2 ee0 tqq2
EXFOLIATORS	ee0 foo0 li2 ee0 tqq2
EXFORD	ee0 fqqt1
EXHALABLE	ee0 heel0 loo0 bql2
EXHALANT	ee0 heel0 len3
EXHALANTS	ee0 heel0 len3
EXHALATION	ee0 heel0 lee0 chan0
EXHALATIONS	ee0 heel0 lee0 chan0
EXHALATORY	ee0 heel0 lee0 thql0 rii2
EXHALE	ee0 heel0
EXHALED	ee0 heel0
EXHALES	ee0 heel0
EXHALING	ee0 heel0 ling2
EXHALINGS	ee0 heel0 ling2
EXHALL	ee0 hoo0
EXHAUST	ee0 s@@s3
EXHAUSTABLE	ee0 s@@s3 thi1 bql2
EXHAUSTED	ee0 s@@s3 thet1
EXHAUSTEDLY	ee0 s@@s3 thet1 lii2
EXHAUSTEDNESS	ee0 s@@s3 thet1 nees1
EXHAUSTER	ee0 s@@s3 thqq2
EXHAUSTIBILITY	ee0 s@@s3 thql0 bi1 li3 tii2
EXHAUSTIBLE	ee0 s@@s3 thi1 bql2
EXHAUSTING	ee0 s@@s3 ting2
EXHAUSTINGLY	ee0 s@@s3 ting2 lii2
EXHAUSTION	ee0 s@@s3 chan0
EXHAUSTIONS	ee0 s@@s3 chan0
EXHAUSTIVE	ee0 s@@s3 thiif1
EXHAUSTIVELY	ee0 s@@s3 tif1 lii2
EXHAUSTIVENESS	ee0 s@@s3 tif1 nees1
EXHAUSTIVITY	ee0 s@@s3 ti1 wi3 tii2
EXHAUSTLESS	ee0 s@@s3 les1
EXHAUSTS	ee0 s@@s3
EXHIBIT	ee0 si1 bit1
EXHIBITABLE	ee0 si1 bit1 thi1 bql2
EXHIBITANT	ee0 si1 bit1 then3
EXHIBITD	ee0 si1 bit3 thet1
EXHIBITED	ee0 si1 bit3 thet1
EXHIBITER	ee0 si1 bit1 tqq2
EXHIBITERS	ee0 si1 bit1 tqq2
EXHIBITING	ee0 si1 bit1 ting2
EXHIBITION	ee0 si1 bit3 chan0
EXHIBITIONER	ee0 si1 bit3 chan0 rqq2
EXHIBITIONERS	ee0 si1 bit3 chan0 nees1
EXHIBITIONISE	ee0 si1 bit3 chan0 nees1
EXHIBITIONISES	ee0 si1 bit3 chan0 nis1 ses1
EXHIBITIONISM	ee0 si1 bit3 chan0 nis3 svm2
EXHIBITIONIST	ee0 si1 bit3 chan0 nis3
EXHIBITIONISTIC	ee0 si1 bit3 chan0 nis3 tik1
EXHIBITIONISTS	ee0 si1 bit3 chan0 nis3
EXHIBITIONIZE	ee0 si1 bit3 chan0 naj3
EXHIBITIONIZES	ee0 si1 bit3 chan0 naaj0 ses1
EXHIBITIONS	ee0 si1 bit3 chan0
EXHIBITIVE	ee0 si1 bit3 thiif1
EXHIBITIVELY	ee0 si1 bit3 thiif1 lii2
EXHIBITOR	ee0 si1 bi3 tqq2
EXHIBITORS	ee0 si1 bi3 tqq2
EXHIBITORSHIP	ee0 si1 bi3 thql0 chip3
EXHIBITORY	ee0 si1 bi3 thql0 rii2
EXHIBITS	ee0 si1 bit1
EXHILARANT	ee0 si1 loo0 ren3
EXHILARATE	ee0 si1 loo0 reet1
EXHILARATED	ee0 si1 loo0 ree0 thet1
EXHILARATES	ee0 si1 loo0 reet1
EXHILARATING	ee0 si1 loo0 reet3 ting2
EXHILARATINGLY	ee0 si1 loo0 reet3 ting2 lii2
EXHILARATION	ee0 si1 loo0 ree0 chan0
EXHILARATIONS	ee0 si1 loo0 ree0 chan0
EXHILARATIVE	ee0 si1 loo0 ree0 thiif1
EXHILARATOR	ee0 si1 loo0 ree0 tqq2
EXHORT	ee0 s@@t1
EXHORTATION	ee0 s@@t3 thqq0 chan0
EXHORTATIONS	ee0 s@@t3 thqq0 chan0
EXHORTATIVE	ee0 s@@t3 thql0 thiif1
EXHORTATIVELY	ee0 s@@t3 thql0 thiif1 lii2
EXHORTATORY	ee0 s@@t3 thql0 thql0 rii2
EXHORTED	ee0 s@@t3 thet1
EXHORTER	ee0 s@@t3 tqq2
EXHORTERS	ee0 s@@t3 tqq2
EXHORTING	ee0 s@@t3 ting2
EXHORTINGLY	ee0 s@@t3 ting2 lii2
EXHORTIVE	ee0 s@@t3 thiif1
EXHORTS	ee0 s@@t1
EXHUMABLE	ee0 suum0 mql0 bql2
EXHUMATION	ee0 suum0 mee0 chan0
EXHUMATIONS	ee0 suum0 mee0 chan0
EXHUME	ee0 suum0
EXHUMED	ee0 suum0
EXHUMER	ee0 suum0 mqq2
EXHUMERS	ee0 suum0 mqs2
EXHUMES	ee0 suum0
EXHUMING	ee0 suum0 ming2
EXIGENCE	ee0 sik3 cqn2
EXIGENCES	ee0 sik3 cqn1 ses1
EXIGENCIES	ee0 sik3 cqn1 ses1
EXIGENCY	ee0 sik3 cqn1 sii2
EXIGENT	ee0 sik3 cen3
EXIGENTER	ee0 sik3 cqn0 tqq2
EXIGENTLY	ee0 sik3 cqn0 lii2
EXIGENTS	ee0 sik3 cen3
EXIGUITIES	ee0 sik3 kiw0 tii2
EXIGUITY	ee0 sik3 kiw0 i1 tii2
EXIGUOUS	ee0 sik3 kiw0 as2
EXIGUOUSLY	ee0 sik3 kiw0 as2 lii2
EXIGUOUSNESS	ee0 sik3 kiw0 as2 nees1
EXILE	ee0 saaj0
EXILED	ee0 saaj0
EXILER	ee0 saaj0 lqq2
EXILES	ee0 saaj0
EXILIC	ee0 saaj0 lik1
EXILING	ee0 saaj0 ling2
EXILIS	ee0 saaj0 lis3
EXILITY	ee0 saaj0 li3 tii2
EXIST	ee0 ses1
EXISTABILITY	ee0 sis3 tql0 bi1 li3 tii2
EXISTANCE	ee0 sis3 tan2
EXISTANT	ee0 sis3 ten3
EXISTED	ee0 sis3 thet1
EXISTENCE	ee0 sis3 tan2
EXISTENCES	ee0 sis3 tqn0 ses1
EXISTENT	ee0 sis3 ten3
EXISTENTIAL	ee0 sis3 teen0 chiial0
