O	oo0
OPULENCE	@p3 piw0 lqn2
OPULENCES	@p3 piw0 lqn1 ses1
OPULENCIES	@p3 piw0 lqn1 ses1
OPULENCY	@p3 piw0 lqn1 sii2
OPULENT	@p3 piw0 len3
OPULENTLY	@p3 piw0 len3 tlii2
OPUS	oo0 phas2
OPUSCULA	oo0 phas3 khiw0 laa2
OPUSCULAR	oo0 phas3 khiw0 laa2
OPUSCULE	oo0 phas3 khiw0
OPUSCULUM	oo0 phas3 khiw0 lam2
OPUSES	oo0 phas1 ses1
OR	@@0
OR	@@0
ORACH	@@0 rach3
ORACHE	@@0 rach3
ORACLE	@@0 rq1 khql2
ORACLES	@@0 rq1 khql2
ORACULAR	oo0 rx3 khiw0 laa2
ORACULAR	oo0 rx3 khiw0 laa2
ORACULARITY	oo0 rx3 khiw0 lxx0 ri3 tii2
ORACULARLY	oo0 rx3 khiw0 lq1 lii2
ORACULATE	oo0 rx3 khiw0 leet1
ORACULOUS	oo0 rx3 khiw0 lqs2
ORACULOUSLY	oo0 rx3 khiw0 lqs2 lii2
ORACULOUSNESS	oo0 rx3 khiw0 lqs2 nees1
ORACULUM	oo0 rx3 khiw0 lam2
ORAL	@@0 r@l2
ORALEE	@@0 rq1 lii2
ORALES	@@0 rql2
ORALIE	@@0 rq1 laaj0
ORALIS	@@0 rq1 lis3
ORALISATION	@@0 rq1 laj3 see0 chan2
ORALISES	@@0 rq1 lis3 ses1
ORALISM	@@0 rq1 lis3 svm2
ORALIST	@@0 rq1 lis3
ORALISTS	@@0 rq1 lis3
ORALIZATION	@@0 rq1 laj3 see0 chan2
ORALIZE	@@0 rq1 laj3
ORALIZES	@@0 rq1 laj3 ses1
ORALLY	@@0 rq1 lii2
ORALS	@@0 rql2
ORANG	@@0 rang0
ORANGE	@@0 ren3
ORANGEADE	@@0 ren3 ceet1
ORANGEADES	@@0 ren3 ceet1
ORANGEBURG	@@0 ren3 bqqk1
ORANGED	@@0 reng3
ORANGED	@@0 ren3
ORANGELINE	@@0 ren0 cql2 laaj0
ORANGEMAN	@@0 ren3 mxxn0
ORANGEMAN	@@0 ren3 mxxn0
ORANGEMEN	@@0 ren3 men2
ORANGEMEN	@@0 ren3 men0
ORANGER	@@0 reng0 ngqq2
ORANGERED	@@0 ren3 reet1
ORANGERIE	@@0 ren0 cq1 rii2
ORANGERIES	@@0 ren0 cq1 rii2
ORANGERY	@@0 ren0 cq1 rii2
ORANGES	@@0 ren3 cis1
ORANGING	@@0 reng2 king2
ORANGS	@@0 reng2
ORATE	@@0 reet3
ORATED	@@0 reet3 thet1
ORATES	@@0 reet3
ORATING	@@0 reet3 ting2
ORATIO	@@0 ree0 chii0 oo2
ORATION	@@0 ree0 chan2
ORATIONER	@@0 ree0 chan2 rqq2
ORATIONS	@@0 ree0 chan2
ORATON	@@0 rq1 thqn2
ORATOR	@@0 rq1 tqq2
ORATORE	@@0 rq1 th@@2
ORATORIA	@@0 rq1 th@@0 riia0
ORATORIAL	@@0 rqt1 th@@0 riial2
ORATORIALLY	@@0 rqt1 th@@0 riial2 lii2
ORATORIAN	@@0 rqt1 thq1 riian2
ORATORIANISM	@@0 rqt1 thq1 riian2 nis3 svm2
ORATORIC	@@0 rqt1 th@@0 rik1
ORATORICAL	@@0 rqt1 th@@0 ri3 khql2
ORATORICALLY	@@0 rqt1 th@@0 ri3 khq1 lii2
ORATORIES	@@0 rqt1 ris1
ORATORIO	@@0 rqt1 th@@0 rii0 oo2
ORATORIOS	@@0 rqt1 th@@0 rii0 @@s3
ORATORIUM	@@0 rqt1 th@@0 riiam2
ORATORS	@@0 rqt1 tqq2
ORATORY	@@0 rq1 thq1 rii2
ORATRESS	@@0 ree0 thris1
ORATRESSES	@@0 ree0 thris3 ses1
ORATRICES	@@0 ree0 thris3 sii2
ORATRIX	@@0 ree0 thrik1
ORB	@@p3
ORBED	@@p3
ORBELL	@@0 beel0
ORBELO	@@0 beel0 loo2
ORBICAL	@@0 bi1 khql2
ORBICLE	@@0 bi1 khql2
ORBICULA	@@0 bi3 khiw0 lqq2
ORBICULAR	@@0 bi3 khiw0 lqq2
ORBICULARIS	@@0 bi3 khiw0 lxx0 ris1
ORBICULARITY	@@p3 bi3 khiw0 lxx0 ri3 tii2
ORBICULARLY	@@p3 bi3 khiw0 lq1 lii2
ORBICULATE	@@p3 bi3 khiw0 leet1
ORBICULATED	@@p3 bi3 khiw0 lee0 thet1
ORBICULATELY	@@p3 bi3 khiw0 lqt3 lii2
ORBICULATION	@@p3 bi3 khiw0 lee0 chan2
ORBICULATUM	@@p3 bi3 khiw0 lee0 tham2
ORBING	@@p3 bing2
ORBIT	@@0 bit1
ORBITAL	@@0 bi3 thql2
ORBITALLY	@@0 bi3 thxxl0 laaj0
ORBITALS	@@0 bi3 thql2
ORBITAR	@@0 bit3 tqq2
ORBITED	@@0 bit3 thet1
ORBITER	@@0 bit3 thqq2
ORBITERS	@@0 bit3 thqq2
ORBITING	@@0 bit3 ting2
ORBITOR	@@0 bit3 tqq2
ORBITRON	@@0 bi1 thr@@n2
ORBITS	@@0 bit1
ORBITTED	@@0 bit3 theet1
ORBITTING	@@0 bit3 ting2
ORBITUARY	@@0 bit3 thuua0 rii2
ORBS	@@p3
ORC	@@k3
ORCADIAN	@@0 khee0 diian2
ORCADIANS	@@0 khee0 diian2
ORCHARD	@@0 chqqt1
ORCHARDING	@@0 chqqt1 ding2
ORCHARDMAN	@@0 chqqt1 mxxn0
ORCHARDS	@@0 chqqt1
ORCHARDSON	@@0 chqqt3 san2
ORCHEST	@@0 khes3
ORCHESTAL	@@0 khes3 tal2
ORCHESTATED	@@0 khes3 teet3 thet1
ORCHESTATION	@@0 khes3 tee0 chan2
ORCHESTER	@@0 khes3 tqq2
ORCHESTIAN	@@0 khes3 tiian2
ORCHESTR	@@0 khes3 taa2
ORCHESTRA	@@0 khes3 traa2
ORCHESTRAL	@@0 khes3 tral2
ORCHESTRALLY	@@0 khes3 tral2 lii2
ORCHESTRAS	@@0 khes3 traas2
ORCHESTRATE	@@0 khes3 treet1
ORCHESTRATED	@@0 khes3 tree0 thet1
ORCHESTRATER	@@0 khes3 tree0 tqq2
ORCHESTRATES	@@0 khes3 treet1
ORCHESTRATING	@@0 khes3 treet3 ting2
ORCHESTRATION	@@0 khes3 tree0 chan2
ORCHESTRATIONAL	@@0 khes3 tree0 chan2 n@l2
ORCHESTRATIONS	@@0 khes3 tree0 chan2
ORCHESTRATOR	@@0 khes3 tree0 tqq2
ORCHESTRATORS	@@0 khes3 tree0 tqq2
ORCHESTRES	@@0 khes3 trees1
ORCHESTRIAL	@@0 khes3 triial2
ORCHESTRIAN	@@0 khes3 triian2
ORCHESTRIC	@@0 khes3 trik1
ORCHESTRION	@@0 khes3 triian2
ORCHESTRIONS	@@0 khes3 triian2
ORCHID	@@0 khit1
ORCHIDACEOUS	@@0 khi3 dee0 chqq2
ORCHIDEOUS	@@0 khi3 dii0 as3
ORCHIDEOUSLY	@@0 khi3 dii0 as3 lii2
ORCHIDS	@@0 khit1
ORCHIL	@@0 chil0
ORCHILL	@@0 chil0
ORCHILLA	@@0 chil0 lqq2
ORCHIS	@@0 khis3
ORCHISES	@@0 khis3 ses1
ORDAIN	@@0 deen0
ORDAIND	@@0 deen0
ORDAINE	@@0 deen0
ORDAINED	@@0 deen0
ORDAINER	@@0 deen0 nqq2
ORDAINERS	@@0 deen0 nqq2
ORDAINING	@@0 deen0 ning2
ORDAINS	@@0 deen0
ORDEAL	@@0 diil0
ORDEALS	@@0 diil0
ORDER	@@0 dqq2
ORDERABLE	@@0 dqq0 ree0 bql2
ORDERD	@@0 dqq2
ORDERED	@@0 dqq2
ORDERER	@@0 dqq0 rqq2
ORDERERS	@@0 dqq0 rqq2
ORDERING	@@0 dqq0 ring2
ORDERINGS	@@0 dqq0 ring2
ORDERLESS	@@0 dqq2 lqq2
ORDERLIES	@@0 dqq0 lii2
ORDERLINE	@@0 dqq2 laaj0
ORDERLINESS	@@0 dqq0 li3 nees1
ORDERLY	@@0 dqq0 lii2
ORDERS	@@0 dqq2
ORDINAIRE	@@0 di1 nxx0
ORDINAIRES	@@0 di1 nxxs2
ORDINAL	@@0 di1 n@l2
ORDINALLY	@@0 di1 n@l2 lii2
ORDINALS	@@0 di1 n@l2
ORDINANCE	@@0 di1 nxn3
ORDINANCES	@@0 di1 nxn3 ses1
ORDINAND	@@0 di1 nxxn0
ORDINANDS	@@0 di1 nxxn0
ORDINANT	@@0 di1 nxn3
ORDINARIA	@@0 di1 naa0 riia0
ORDINARIES	@@0 di1 naa0 rii2
ORDINARILY	@@0 di1 naa0 ri1 lii2
ORDINARINESS	@@0 di1 naa0 ri1 nees1
ORDINARIO	@@0 di1 naa0 rii0 oo2
ORDINARIUS	@@0 di1 nxx0 riias2
ORDINARY	@@0 di1 naa0 rii2
ORDINARY	@@0 di1 naa0 rii2
ORDINATE	@@0 di1 neet1
ORDINATED	@@0 di1 neet3 thet1
ORDINATES	@@0 di1 neet1
ORDINATING	@@0 di1 neet3 ting2
ORDINATION	@@0 di1 nee0 chan2
ORDINATIONS	@@0 di1 nee0 chan2
ORDINATIVE	@@0 di1 nee0 thiif1
ORDING	@@t3 ding2
ORDNANCE	@@t3 nxn3
ORDNANCES	@@t3 nen3 ses1
ORDURE	@@0 duua0
ORDURE	@@0 duua0
ORDURES	@@0 duua0
ORDURES	@@0 duua0
ORE	@@0
ORE	@@0
OREAD	@@0 ri3 xxt1
OREADES	@@0 ri3 xxt1
OREADS	@@0 ri3 xxt1
OREALIS	@@0 ri3 ee0 lis3
OREGON	@@0 ree0 kh@n2
OREGONIA	@@0 ree0 kh@@0 niia0
OREGONIAN	@@0 ree0 kh@@0 niian2
OREGONIANS	@@0 ree0 kh@@0 niian2
OREGONS	@@0 ree0 kh@n2
OREGRADE	@@0 kreet1
ORELIE	@@0 laaj0
ORES	@@s2
ORESTIS	@@0 sa1 tis3
ORGAN	@@0 kxxn0
ORGANDI	@@0 kxxn0 dii2
ORGANDIE	@@0 kxxn0 dii2
ORGANDIES	@@0 kxxn0 dii2
ORGANDY	@@0 kxxn0 dii2
ORGANIC	@@0 kxx0 nik1
ORGANICA	@@0 kxx0 ni3 kaa2
ORGANICAL	@@0 kxx0 ni3 kh@l2
ORGANICALLY	@@0 kxx0 ni3 khq1 lii2
ORGANICALNESS	@@0 kxx0 ni3 khql2 nees1
ORGANICK	@@0 kxx0 nik1
ORGANICS	@@0 kxx0 nik1
ORGANING	@@0 kxxn0 ning2
ORGANISABILITIES	@@0 kxx0 naj3 sa1 bi1 li3 tii2
ORGANISABILITY	@@0 kxx0 naj3 sa1 bi1 li3 tii2
ORGANISABLE	@@0 kxx0 naj3 sa1 bql2
ORGANISABLES	@@0 kxx0 naj3 sa1 bql2
ORGANISATION	@@0 kxx0 naj3 see0 chan2
ORGANISATIONAL	@@0 kxx0 naj3 see0 chan2 n@l2
ORGANISATIONALLY	@@0 kxx0 naj3 see0 chan2 nxxl2 lii2
ORGANISATIONALS	@@0 kxx0 naj3 see0 chqq0 n@l2
ORGANISATIONIST	@@0 kxx0 naj3 see0 chan2 nis3
ORGANISATIONISTS	@@0 kxx0 naj3 see0 chan2 nis3
ORGANISATIONS	@@0 kxx0 naj3 see0 chan2
ORGANISED	@@0 kxx0 naj3
ORGANISER	@@0 kxx0 naj3 sqq2
ORGANISERS	@@0 kxx0 naj3 sqq2
ORGANISING	@@0 kxx0 naj3 sing2
ORGANISM	@@0 kxx0 nis3 svm2
ORGANISMS	@@0 kxx0 nis3 svm2
ORGANIST	@@0 kxx0 nis3
ORGANISTA	@@0 kxx0 nis3 tqq2
ORGANISTIC	@@0 kxx0 nis3 tik1
ORGANISTICUS	@@0 kxx0 nis3 ti1 kas2
ORGANISTRUM	@@0 kxx0 nis3 trqm2
ORGANISTS	@@0 kxx0 nis3
ORGANIZABILITIES	@@0 kxx0 naj3 sa1 bi1 li3 tii2
ORGANIZABILITY	@@0 kxx0 naj3 sa1 bi1 li3 tii2
ORGANIZABLE	@@0 kxx0 naj3 sa1 bql2
ORGANIZABLES	@@0 kxx0 naj3 sa1 bql2
ORGANIZATION	@@0 kxx0 naj3 see0 chan2
ORGANIZATIONAL	@@0 kxx0 naj3 see0 chan2 n@l2
ORGANIZATIONALLY	@@0 kxx0 naj3 see0 chan2 n@l2 lii2
ORGANIZATIONALS	@@0 kxx0 naj3 see0 chan2 n@l2
ORGANIZATIONIST	@@0 kxx0 naj3 see0 chan2 nis3
ORGANIZATIONISTS	@@0 kxx0 naj3 see0 chan2 nis3
ORGANIZATIONS	@@0 kxx0 naj3 see0 chan2
ORGANIZATIONWIDE	@@0 kxx0 naj3 see0 chan2 waaj0
ORGANIZE	@@0 kxx0 naj3
ORGANIZED	@@0 kxx0 naj3
ORGANIZER	@@0 kxx0 naj3 sqq2
ORGANIZERS	@@0 kxx0 naj3 sqq2
ORGANIZES	@@0 kxx0 naj3 ses1
ORGANIZING	@@0 kxx0 naj3 sing2
ORGANOGRAPHIST	@@0 kxx0 noo0 kraaf3 fis1
ORGANOGRAPHY	@@0 kxx0 noo0 kraaf3 fii2
ORGANOLOGIST	@@0 kxx0 noo0 loo0 cis3
ORGANOLOGY	@@0 kxx0 noo0 loo0 cii2
ORGANON	@@0 kxx0 n@@n2
ORGANS	@@0 kxxn0
ORGANUM	@@0 kxx0 nam2
ORGASM	@@0 kxs3 svm2
ORGASMED	@@0 kxs3 svm2
ORGASMING	@@0 kxs3 sqm0 ming2
ORGASMS	@@0 kxs3 svm2
ORGIAST	@@0 ci1 xs3
ORGIASTIC	@@0 ci1 xs3 tik3
ORGIASTICAL	@@0 ci1 xs3 ti1 khql2
ORGIASTICALLY	@@0 ci1 xs3 ti1 khq1 lii2
ORGIASTS	@@0 ci1 xs3
ORGIC	@@0 cik1
ORGIES	@@0 cii2
ORGY	@@0 cii2
ORIEL	@@0 rii0 al2
ORIELS	@@0 rii0 al2
ORIENCY	@@0 rii0 an1 sii2
ORIENS	@@0 riian2
ORIENT	@@0 riian3
ORIENTA	@@0 ri3 een0 taa2
ORIENTABLE	@@0 riian3 thee0 bql2
ORIENTAL	@@0 ri3 een0 thql2
ORIENTALES	@@0 ri3 een0 thql2
ORIENTALIS	@@0 ri3 een0 thq1 lis3
ORIENTALISATION	@@0 ri3 een0 thq1 laj3 see0 chan2
ORIENTALISED	@@0 ri3 een0 thq1 lis3
ORIENTALISES	@@0 ri3 een0 thq1 lis3 ses1
ORIENTALISING	@@0 ri3 een0 thq1 lis3 sing2
ORIENTALISM	@@0 ri3 een0 thq1 lis3 svm2
ORIENTALISMS	@@0 ri3 een0 thq1 lis3 svm2
ORIENTALIST	@@0 ri3 een0 thq1 lis3
ORIENTALISTS	@@0 ri3 een0 thq1 lis3
ORIENTALITY	@@0 ri3 een0 th@l2 li3 tii2
ORIENTALIZATION	@@0 ri3 een0 thq1 laj3 see0 chan2
ORIENTALIZE	@@0 ri3 een0 thq1 laj3
ORIENTALIZED	@@0 ri3 een0 thq1 laj3
ORIENTALIZES	@@0 ri3 een0 thq1 laaj0 ses1
ORIENTALIZING	@@0 ri3 een0 thq1 laj3 sing2
ORIENTALLY	@@0 ri3 een0 thq1 lii2
ORIENTALS	@@0 ri3 een0 thql2
ORIENTAR	@@0 ri3 een0 thaa2
ORIENTAR	@@0 ri3 een0 thaa2
ORIENTATE	@@0 riian0 theet1
ORIENTATED	@@0 riian0 thee0 thet1
ORIENTATES	@@0 riian0 theet1
ORIENTATING	@@0 riian0 theet1 ting2
ORIENTATION	@@0 ri3 een0 thee0 chan2
ORIENTATIONAL	@@0 ri3 een0 thee0 chan2 n@l2
ORIENTATIONALLY	@@0 ri3 een0 thee0 chan2 n@l2 lii2
ORIENTATIONS	@@0 ri3 een0 thee0 chan2
ORIENTED	@@0 riian0 thet1
ORIENTING	@@0 riian0 ting2
ORIENTIS	@@0 riian0 tii2
ORIENTISES	@@0 riian0 tis3 ses1
ORIENTLY	@@0 riian3 lii2
ORIENTS	@@0 riian3
ORIFICE	@@0 ri3 fis1
ORIFICES	@@0 ri3 fis3 ses1
ORIFICIAL	@@0 ri3 fi3 chql2
ORIFLAMB	@@0 rif3 lxxm3
ORIFLAMME	@@0 rif3 lxxm0
ORIFORM	@@0 ri3 f@@m0
ORIGIN	@@0 ri3 cin2
ORIGINAL	a1 ri3 ci1 n@l2
ORIGINALES	a1 ri3 ci1 n@l2
ORIGINALITIES	a1 ri3 ci1 n@l2 li3 tii2
ORIGINALITY	a1 ri3 ci1 n@l2 li3 tii2
ORIGINALLY	a1 ri3 ci1 n@l2 lii2
ORIGINALLY	a1 ri3 ci1 n@l2 lii2
ORIGINALS	a1 ri3 ci1 n@l2
ORIGINANT	@@0 ri3 ci1 nxxn3
ORIGINATE	a1 ri3 ci1 neet1
ORIGINATED	a1 ri3 ci1 neet3 thet1
ORIGINATES	a1 ri3 ci1 neet1
ORIGINATING	a1 ri3 ci1 neet3 ting2
ORIGINATION	a1 ri3 ci1 nee0 chan2
ORIGINATIONS	a1 ri3 ci1 nee0 chan2
ORIGINATIVE	a1 ri3 ci1 nee0 thiif1
ORIGINATIVELY	a1 ri3 ci1 nee0 thiif1 lii2
ORIGINATOR	a1 ri3 ci1 nee0 tqq2
ORIGINATOR	a1 ri3 ci1 nee0 tqq2
ORIGINATORS	a1 ri3 ci1 nee0 tqq2
ORIGINE	@@0 ri3 cqn1 nii2
ORIGINES	@@0 ri3 cin2
ORIGINIST	@@0 ri3 ci1 nis3
ORIGINS	@@0 ri3 cin2
ORIOLE	@@0 rii0 ool0
ORIOLES	@@0 rii0 ool0
ORISON	@@0 ri3 san2
ORISONS	@@0 ri3 san2
ORISSA	@@0 ris3 saa2
ORKNEY	@@k3 nii2
ORKNEYS	@@k3 nii2
ORLEANIST	@@0 liian0 nis3
ORLEANISTIC	@@l0 liian0 nis3 tik1
ORLEANISTS	@@l0 liian0 nis3
ORLEANS	@@l0 liian2
ORLEANSES	@@l0 liian3 ses1
ORLEANSVILLE	@@l0 liian3 sa1 wil0
ORLOP	@@l0 l@p1
ORLOPS	@@l0 l@p1
ORMAND	@@0 mxn2
ORMER	@@0 mqq2
ORMOLU	@@0 mq1 luu0
ORMOLUS	@@0 mq1 luus3
ORMOUS	@@0 mqq2
ORMSKIRK	@@m0 sa1 kqqk3
ORMULU	@@0 muu0 luu2
ORNAMENT	@@0 naa0 men3
ORNAMENT	@@0 naa0 men3
ORNAMENTA	@@0 naa0 men0 taa2
ORNAMENTAL	@@0 naa0 men0 th@l2
ORNAMENTALISES	@@0 naa0 men0 thq1 lis3 ses1
ORNAMENTALISM	@@0 naa0 men0 thq1 lis3 svm2
ORNAMENTALIST	@@0 naa0 men0 thq1 lis3
ORNAMENTALITY	@@0 naa0 men0 th@l2 li3 tii2
ORNAMENTALIZE	@@0 naa0 men0 thq1 laj3
ORNAMENTALIZES	@@0 naa0 men0 thq1 laaj0 ses1
ORNAMENTALLY	@@0 naa0 men0 thq1 lii2
ORNAMENTALS	@@0 naa0 men0 th@l2
ORNAMENTARY	@@0 naa0 men0 thq1 rii2
ORNAMENTATION	@@0 naa0 meen3 thee0 chan2
ORNAMENTATIONS	@@0 naa0 meen3 thee0 chan2
ORNAMENTED	@@0 naa0 meen3 thet1
ORNAMENTI	@@0 naa0 meen3 tii2
ORNAMENTING	@@0 naa0 meen3 ting2
ORNAMENTIST	@@0 naa0 meen3 this3
ORNAMENTS	@@0 naa0 men3
ORNAMENTS	@@0 naa0 men3
ORNATE	@@0 neet1
ORNATELY	@@0 neet3 lii2
ORNATENESS	@@0 neet3 nees1
ORNATION	@@0 nee0 chan2
ORNATO	@@0 neet3 thoo2
ORNATUS	@@0 neet3 tqq2
ORNER	@@0 nqq2
ORNERY	@@0 nqq0 rii2
ORNICE	@@0 nees1
ORNISH	@@0 nich1
ORNITH	@@0 nit1
ORNITHOLOGIC	@@0 ni3 thq1 loo0 cik1
ORNITHOLOGICAL	@@0 ni3 thq1 loo0 ci1 khql2
ORNITHOLOGICALLY	@@0 ni3 thq1 loo0 ci1 khq1 lii2
ORNITHOLOGIST	@@0 ni3 thoo0 lq1 cis3
ORNITHOLOGISTS	@@0 ni3 thoo0 lq1 cis3
ORNITHOLOGY	@@0 ni3 thoo0 lq1 cii2
OROGRAPH	@@0 roo0 kraaf3
OROGRAPHIC	@@0 roo0 kraaf3 fik1
OROGRAPHICAL	@@0 roo0 kraaf3 fi1 khql2
OROGRAPHICALLY	@@0 roo0 kraaf3 fi3 khq1 lii2
OROGRAPHY	@@0 roo0 kraaf3 fii2
OROLOGIST	@@0 roo0 lq1 cis3
OROLOGY	@@0 roo0 lq1 cii2
OROTUND	@@0 roo0 than0
OROTUNDITIES	@@0 roo0 than0 di1 tii2
OROTUNDITY	@@0 roo0 than0 di3 tii2
ORPHAN	@@0 fxn2
ORPHANAGE	@@0 fxxn0 nec1
ORPHANAGES	@@0 fxxn0 nic3 cis1
ORPHANED	@@0 fxn2
ORPHANHOOD	@@0 fxn2 huut3
ORPHANING	@@0 fxn2 ning2
ORPHANS	@@0 fxn2
ORPHEAN	@@0 fiian2
ORPHEANS	@@0 fiian2
ORPIMENT	@@0 phi1 men3
ORPIMENTS	@@0 phi1 men3
ORREN	@@0 rqn2
ORRERY	@@0 rq1 rii2
ORRIDGE	@@0 ric1
ORRIFIED	@@0 ri3 faaj0
ORRIN	@@0 rin2
ORRINGER	@@0 rin0 cqq2
ORRINGTON	@@0 ring0 tan2
ORRIS	@@0 ris3
ORRISES	@@0 ris3 ses1
ORRISON	@@0 ri3 san2
ORRISROOT	@@0 ris3 ruut3
ORTHOCHROMATIC	@@0 thoo0 khroo0 mxx0 thik1
ORTHOCHROMATIZE	@@0 thoo0 khroo0 mq1 thaj3
ORTHODONTIC	@@0 thq1 d@@n0 tik1
ORTHODONTICS	@@0 thq1 d@@n0 tik1
ORTHODONTIST	@@0 thq1 d@@n0 this3
ORTHODONTISTS	@@0 thq1 d@@n0 this3
ORTHODOX	@@0 thq1 d@k1
ORTHODOXES	@@0 thq1 d@k3 ses1
ORTHODOXICAL	@@0 thq1 d@k3 si1 khql2
ORTHODOXICALLY	@@0 thq1 d@k3 si1 khq1 lii2
ORTHODOXIES	@@0 thq1 d@k3 ses1
ORTHODOXY	@@0 thq1 d@k0 sii2
ORTHOEPIC	@@0 thoo0 ee0 phik1
ORTHOEPICAL	@@0 thoo0 ee0 phi3 khql2
ORTHOEPICALLY	@@0 thoo0 ee0 phi3 khq1 lii2
ORTHOEPIST	@@0 thoo0 ee0 phis1
ORTHOEPISTIC	@@0 thoo0 ee0 phis3 tik1
ORTHOEPISTS	@@0 thoo0 ee0 phis1
ORTHOEPY	@@0 thoo0 ee0 phii2
ORTHOGONAL	@@0 thoo0 kq1 n@l2
ORTHOGONAL	@@0 thoo0 kq1 n@l2
ORTHOGONALISATION	@@0 thoo0 kq1 n@l2 laj3 see0 chan2
ORTHOGONALISED	@@0 thoo0 kq1 n@l2 laj3
ORTHOGONALISES	@@0 thoo0 kq1 n@l2 lis3 ses1
ORTHOGONALISING	@@0 thoo0 kq1 n@l2 lis3 sing2
ORTHOGONALIZATION	@@0 thoo0 kq1 n@l2 laj3 see0 chan2
ORTHOGONALIZE	@@0 thoo0 kq1 n@l2 laj3
ORTHOGONALIZED	@@0 thoo0 kq1 n@l2 laj3
ORTHOGONALIZES	@@0 thoo0 kq1 n@l2 laaj0 ses1
ORTHOGONALIZING	@@0 thoo0 kq1 n@l2 laj3 sing2
ORTHOGONALLY	@@0 thoo0 kq1 n@l2 lii2
ORTHOGONALS	@@0 thoo0 kq1 n@l2
ORTHOGONALS	@@0 thoo0 kq1 n@l2
ORTHOGRAPHER	@@0 thoo0 kraaf3 fqq2
ORTHOGRAPHIC	@@0 thq1 kraaf3 fik1
ORTHOGRAPHICAL	@@0 thq1 kraaf3 fi1 khql2
ORTHOGRAPHICALLY	@@0 thq1 kraaf3 fi1 khq1 lii2
ORTHOGRAPHIES	@@0 thoo0 kraaf3 fii2
ORTHOGRAPHIST	@@0 thoo0 kraaf3 fis3
ORTHOGRAPHY	@@0 thoo0 kraaf3 fii2
ORTHOPAEDIC	@@0 thq1 phii0 dik1
ORTHOPAEDICALLY	@@0 thq1 phii0 di1 khq1 lii2
ORTHOPAEDICS	@@0 thq1 phii0 dik1
ORTHOPAEDIST	@@0 thq1 phii0 dis3
ORTHOPAEDY	@@0 thoo2 phii0 dii2
ORTHOPEDIA	@@0 thq1 phii0 diia2
ORTHOPEDIC	@@0 thq1 phii0 dik1
ORTHOPEDICAL	@@0 thq1 phii0 di1 khql2
ORTHOPEDICALLY	@@0 thq1 phii0 di1 khq1 lii2
ORTHOPEDICS	@@0 thq1 phii0 dik1
ORTHOPEDIST	@@0 thq1 phii0 dis3
ORTHOPEDISTS	@@0 thq1 phii0 dis3
ORTHOPEDY	@@0 thoo0 phii0 dii2
ORTHOPHONIC	@@0 thoo0 f@@0 nik1
ORTHOPHONICS	@@0 thoo0 f@@0 nik1
ORTHOPHONY	@@0 thq1 foo0 nii2
ORTOLAN	@@0 thq1 lan0
ORTOLANS	@@0 thq1 lan0
ORYX	oo0 rik1
ORYXES	oo0 rik3 ses1
OSAKA	oo0 saa0 kaa2
OSAKAR	oo0 saa0 kaa2
OSAKAR	oo0 saa0 kaa2
OSAKE	oo0 saa0 kii2
OSCAR	@s3 kaa2
OSCAR	@s3 kaa2
OSCARD	@s3 kaat3
OSCARD	@s3 kaat3
OSCARED	@s3 kqq2
OSCARED	@s3 kqq2
OSCARLESS	@s3 kq1 les1
OSCARLIKE	@s3 kq1 laj3
OSCARS	@s3 kaas2
OSCARSON	@s3 kq1 san2
OSCARSSON	@s3 kq1 san2
OSCILLARY	@s3 sil0 lq1 rii2
OSCILLATE	@s3 sil0 leet1
OSCILLATED	@s3 sil0 lee0 thet1
OSCILLATES	@s3 sil0 leet1
OSCILLATING	@s3 sil0 leet3 ting2
OSCILLATION	@s3 sil0 lee0 chan2
OSCILLATIONAL	@s3 sil0 lee0 chan2 n@l2
OSCILLATIONS	@s3 sil0 lee0 chan2
OSCILLATIVE	@s3 sil0 lee0 thiif1
OSCILLATIVELY	@s3 sil0 lee0 thiif1 lii2
OSCILLATOR	@s3 sil0 lee0 tqq2
OSCILLATOR	@s3 sil0 lee0 tqq2
OSCILLATORIAN	@s3 sil0 lee0 thq1 riian2
OSCILLATORS	@s3 sil0 lee0 thqq2
OSCILLATORY	@s3 sil0 lqt3 thq1 rii2
OSCILLOGRAM	@s3 sil0 lq1 krxxm2
OSCILLOGRAMME	@s3 sil0 lq1 krxxm2
OSCILLOGRAMMES	@s3 sil0 lq1 krxxm0
OSCILLOGRAMS	@s3 sil0 lq1 krxxm0
OSCILLOGRAPH	qs3 sil0 lq1 kraaf3
OSCILLOGRAPHIC	qs3 sil0 lq1 kraaf3 fik1
OSCILLOGRAPHICALLY	qs3 sil0 lq1 kraaf3 fi3 khq1 lii2
OSCILLOGRAPHS	qs3 sil0 lq1 kraaf3
OSCILLOSCOPE	qs3 sil0 lqs3 khoop1
OSCILLOSCOPES	qs3 sil0 lqs3 khoop1
OSCILLOSCOPIC	qs3 sil0 lqs3 khoo0 phik1
OSCILLOSCOPICALLY	qs3 sil0 lqs3 khoo0 phi3 khq1 lii2
OSCULA	@s3 khiw0 lqq2
OSCULABLE	@s3 khiw0 lee0 bql2
OSCULANT	@s3 khiw0 len3
OSCULAR	@s3 khiw0 lqq2
OSCULARITY	@s3 khiw0 lxx0 ri3 tii2
OSCULATE	@s3 khiw0 leet1
OSCULATED	@s3 khiw0 lee0 thet1
OSCULATES	@s3 khiw0 leet1
OSCULATING	@s3 khiw0 leet3 ting2
