DA	daa0
DORMITORIES	d@@0 mi3 thql0 ris1
DORMITORY	d@@0 mi3 thql0 rii2
DORMOUSE	d@@0 maw3
DORMY	d@@0 mii2
DOROTHY	d@@0 rql0 thii2
DOROTHYS	d@@0 rql0 thii2
DORRAN	d@@0 rqn2
DORRANCES	d@@0 rqn0 ses1
DORRANS	d@@0 rqn2
DORSAL	d@@0 sql2
DORSALS	d@@0 sql2
DORSER	d@@0 sqq2
DORSET	d@@0 set3
DORSETS	d@@0 set3
DORTMAN	d@@t3 mxxn0
DORTMANS	d@@t3 mxxn0
DORTMUND	d@@t3 mun0
DORY	d@@0 rii2
DOS	d@s3
DOSAGE	d@s3 seec1
DOSAGES	d@s3 seec1 cis1
DOSE	doos3
DOSED	doos3 sit1
DOSER	doos3 sqq2
DOSERS	doos3 sqqs2
DOSES	doos3 ses1
DOSHER	doos3 chqq2
DOSING	doos3 sing2
DOSINGS	doos3 sing2
DOSS	d@@s3
DOSSAL	d@@s3 sql2
DOSSANTOS	d@@s3 sxxn0 t@s3
DOSSED	d@@s3 sit1
DOSSER	d@@s3 sqq2
DOSSERS	d@@s3 sqqs2
DOSSES	d@@s3 ses1
DOSSETT	d@@s3 set3
DOSSETTER	d@@s3 set3 thqq2
DOSSICK	d@@s3 sik3
DOSSIER	d@@s3 si1 qq2
DOSSIERS	d@@s3 si1 qs2
DOSSING	d@@s3 sing2
DOST	d@@s3
DOSTER	d@@s3 thqq2
DOSTIE	d@@s3 thaaj0
DOSWELL	d@@s3 weel0
DOT	d@t3
DOTAGE	d@t3 theec1
DOTAGES	d@t3 theec1 cis1
DOTAN	doo0 thqn2
DOTANT	doo0 thxxn3
DOTARD	doo0 thqqt1
DOTARDLY	doo0 thqqt1 lii2
DOTARDS	doo0 thqqt1
DOTE	doot3
DOTED	doot3 thet1
DOTER	doot3 thqq2
DOTERS	doot3 tqq2
DOTES	doot3
DOTH	d@t3
DOTING	d@t3 ting2
DOTINGLY	d@t3 ting2 lii2
DOTS	d@t3
DOTSAM	d@t3 sxxm0
DOTSON	d@t3 san2
DOTSONS	d@t3 san2
DOTTED	d@t3 thet1
DOTTER	d@t3 thqq2
DOTTEREL	d@t3 thql0 rql2
DOTTERER	d@t3 thql0 rqq2
DOTTERING	d@t3 thql0 ring2
DOTTERS	d@t3 tqq2
DOTTIE	d@t3 thaaj0
DOTTIER	d@t3 thi1 qq2
DOTTIEST	d@t3 thi1 es1
DOTTING	d@t3 ting2
DOTTINGHAM	d@t3 ting2 hxxm2
DOTTINGS	d@t3 ting2
DOTTLE	d@t3 thql2
DOTTLER	d@t3 thql0 lqq2
DOTTLES	d@t3 thql2
DOTTLING	d@t3 thql0 ling2
DOTTREL	d@t3 threel0
DOTTY	d@t3 tii2
DOUAI	duu0 ee2
DOUANE	duu0 een0
DOUANES	duu0 een0
DOUBLE	dap3 bql2
DOUBLED	dap3 bql0 lit1
DOUBLEDAY	dap3 bql0 dee0
DOUBLEHANDED	dap3 bql0 hxxn0 det1
DOUBLEHANDEDLY	dap3 bql0 hxxn0 det1 lii2
DOUBLEHANDEDNESS	dap3 bql0 hxxn0 det1 nees1
DOUBLEHEADED	dap3 bql0 heet3 det1
DOUBLEHEADER	dap3 bql0 heet3 dqq2
DOUBLEHEADERS	dap3 bql0 heet3 dqs2
DOUBLENESS	dap3 bql2 nees1
DOUBLER	dap3 blqq2
DOUBLERES	dap3 bql0 rii2
DOUBLERS	dap3 blqs2
DOUBLES	dap3 bql2
DOUBLESPEAK	dap3 bql0 sa1 piik3
DOUBLESPEED	dap3 bql0 sa1 piit1
DOUBLET	dap3 blet1
DOUBLETED	dap3 blet3 thet1
DOUBLETHINK	dap3 bql0 ting3
DOUBLETON	dap3 bql0 than2
DOUBLETONS	dap3 bql0 than3
DOUBLETREE	dap3 bql0 thrii0
DOUBLETS	dap3 blet1
DOUBLEWIDTH	dap3 bql0 wit3
DOUBLIN	dap3 blin2
DOUBLING	dap3 bling2
DOUBLINGS	dap3 bling2
DOUBLISTS	dap3 blis3
DOUBLOON	dap3 bluun0
DOUBLOONS	dap3 bluun0
DOUBLY	dap3 blii2
DOUBT	daaw3
DOUBTABLE	daaw3 thqq0 bql2
DOUBTABLY	daaw3 thqq0 blii2
DOUBTED	daaw3 thet1
DOUBTEDLY	daaw3 thet1 lii2
DOUBTER	daaw3 thqq2
DOUBTERS	daaw3 tqq2
DOUBTFIRE	daaw3 faaj0 qq2
DOUBTFIRES	daaw3 faaj0 qq2
DOUBTFUL	daaw3 fuul0
DOUBTFULL	daaw3 fuul0
DOUBTFULLY	daaw3 fuul0 lii2
DOUBTFULNESS	daaw3 fuul0 nees1
DOUBTFULS	daaw3 fuul0
DOUBTING	daaw3 ting2
DOUBTINGLY	daaw3 ting2 lii2
DOUBTLESS	daaw3 les3
DOUBTLESSLY	daaw3 les3 lii2
DOUBTLESSNESS	daaw3 les3 nees1
DOUBTS	daaw3
DOUCHE	duuch3
DOUCHED	duuch3 chit1
DOUCHES	duuch3 ches1
DOUG	dak1
DOUGALL	dak3 koo02
DOUGH	doo0
DOUGHBOY	doo0 b@@j0
DOUGHBOYS	doo0 b@@j0
DOUGHER	doo0 qq2
DOUGHFACE	doo0 fees3
DOUGHFACED	doo0 fees3 sit1
DOUGHIER	doo0 iia0
DOUGHIEST	doo0 hi1 es1
DOUGHMAN	doo0 mxxn0
DOUGHNUT	doo0 nat3
DOUGHNUTS	doo0 nat3
DOUGHNUTTING	doo0 nat3 ting2
DOUGHS	doo0
DOUGHTEN	doo0 then0
DOUGHTIE	doo0 thaaj0
DOUGHTIER	doo0 thiia0
DOUGHTRY	doo0 thrii2
DOUGHTY	doo0 tii2
DOUGHTYS	doo0 tii2
DOUGLAS	dak3 las2
DOUGLASES	dak3 las2 ses1
DOUGLASS	dak3 klxxs3
DOUGLASSES	dak3 klxxs3 ses1
DOULOUREUX	duu0 loo0 rek1
DOUR	duua0
DOURER	duua0 rqq2
DOUREST	duua0 rees3
DOUREST	duua0 rees3
DOURLY	duua0 lii2
DOURNESS	duua0 nees1
DOUSE	daaw3
DOUSED	daaw3 sit1
DOUSER	daaw3 sqq2
DOUSERS	daaw3 sqqs2
DOUSES	daaw3 ses1
DOUSING	daaw3 sing2
DOUSINGS	daaw3 sing2
DOVE	daf3 
DOVECOTE	daf3 khoot3
DOVECOTES	daf3 khoot3 this1
DOVECOTS	daf3 k@t1
DOVELING	doo0 weel0 ling2
DOVER	doo0 wqq2
DOVERED	doo0 wql0 rit1
DOVERS	doo0 wqq2
DOVERSPIKE	doo0 wqq2 sa1 paaj3
DOVES	daf3 
DOVETAIL	daf3 theel0
DOVETAILED	daf3 theel0 lit1
DOVETAILER	daf3 theel0 lqq2
DOVETAILING	daf3 theel0 ling2
DOVETAILS	daf3 theel0
DOWAGER	daaw0 wql0 cqq2
DOWAGERS	daaw0 wql0 cqs2
DOWDIER	daaw0 diia0 qq2
DOWDIES	daaw0 di1 es1
DOWDIEST	daaw0 di1 es1
DOWDILY	daaw0 di1 lii2
DOWDINESS	daaw0 di1 nees1
DOWDING	daaw0 ding2
DOWDINGS	daaw0 ding2
DOWDY	daaw0 dii2
DOWDYING	daaw0 dii0 ing2
DOWEL	daaw0 weel0
DOWELED	daaw0 weel0 lit1
DOWELING	daaw0 weel0 ling2
DOWELLED	daaw0 weel0 lit1
DOWELLING	daaw0 weel0 ling2
DOWELS	daaw0 weel0
DOWER	daaw0 qq2
DOWERED	daaw0 ql0 rit1
DOWERING	daaw0 ql0 ring2
DOWERS	daaw0 qq2
DOWLAS	daaw0 las2
DOWN	daaw0
DOWNABLE	daaw0 nee0 bql2
DOWNBEAT	daaw0 biit1
DOWNBEATS	daaw0 biit1
DOWNCAST	daaw0 khxxs3
DOWNCASTNESS	daaw0 khxxs3 nees1
DOWNCASTS	daaw0 khxxs3
DOWNCOURT	daaw0 kh@@t1
DOWNDRAFT	daaw0 draaf3 
DOWNDRAFTS	daaw0 draaf3 
DOWNDRAUGHT	daaw0 draaf3 
DOWNDRAUGHTS	daaw0 draaf3 
DOWNDRIFT	daaw0 drif3 
DOWNED	daaw0 nit1
DOWNEND	daaw0 neen3
DOWNER	daaw0 nqq2
DOWNERS	daaw0 nqq2
DOWNES	daaw0 nees1
DOWNFALL	daaw0 foo0
DOWNFALLEN	daaw0 foo0 lqn2
DOWNFALLING	daaw0 foo0 ling2
DOWNFALLS	daaw0 foo0
DOWNFIELD	daaw0 fiil0
DOWNGRADE	daaw0 kreet1
DOWNGRADED	daaw0 kreet3 det1
DOWNGRADES	daaw0 kreet3 dis1
DOWNGRADING	daaw0 kreet3 ding2
DOWNGRADINGS	daaw0 kreet3 ding2
DOWNGROWTH	daaw0 kroot3
DOWNHALL	daaw0 hool0
DOWNHAM	daaw0 hxxm2
DOWNHEARTED	daaw0 haat3 thet1
DOWNHEARTEDLY	daaw0 haat3 thet1 lii2
DOWNHEARTEDNESS	daaw0 haat3 thet1 nees1
DOWNHEARTENING	daaw0 haat3 ning2
DOWNHILL	daaw0 hil0
DOWNHILLS	daaw0 hil0
DOWNIES	daaw0 nees1
DOWNING	daaw0 ning2
DOWNINGS	daaw0 ning2
DOWNINGTON	daaw0 ning2 tan2
DOWNINGTOWN	daaw0 ning2 thaaw0
DOWNISH	daaw0 nich1
DOWNLAND	daaw0 lxxn0
DOWNLANDS	daaw0 lxxn0
DOWNLIE	daaw0 laaj0
DOWNLIER	daaw0 laaj0 qq2
DOWNLIGHT	daaw0 laj3
DOWNLIGHTER	daaw0 laj3 thqq2
DOWNLIGHTERS	daaw0 laj3 tqq2
DOWNLIGHTING	daaw0 laj3 ting2
DOWNLIGHTS	daaw0 laj3
DOWNLINE	daaw0 laaj0
DOWNLINERS	daaw0 laaj0 nqq2
DOWNLINK	daaw0 ling3
DOWNLINKED	daaw0 ling3 kit1
DOWNLINKING	daaw0 ling0 king2
DOWNLINKS	daaw0 ling3
DOWNLOAD	daaw0 loot1
DOWNLOADABLE	daaw0 loot1 dee0 bql2
DOWNLOADED	daaw0 loot1 det1
DOWNLOADER	daaw0 loot1 dqq2
DOWNLOADERS	daaw0 loot1 dqq2
DOWNLOADING	daaw0 loot1 ding2
DOWNLOADS	daaw0 loot1
DOWNLOW	daaw0 loo0
DOWNPAYMENT	daaw0 phee0 men3
DOWNPAYMENTS	daaw0 phee0 men3
DOWNPLAY	daaw0 phlee0
DOWNPLAYED	daaw0 phlee0 it1
DOWNPLAYING	daaw0 phlee0 ing2
DOWNPLAYS	daaw0 phlees1
DOWNPOUR	daaw0 ph@@0
DOWNPOURING	daaw0 ph@@0 ring2
DOWNPOURS	daaw0 ph@@s2
DOWNRANGE	daaw0 reec3
DOWNRATED	daaw0 reet3 thet1
DOWNRATING	daaw0 reet1 ting2
DOWNRIGHT	daaw0 raj3
DOWNRIGHTLY	daaw0 raj3 thql2 lii2
DOWNRIGHTNESS	daaw0 raj3 nees1
DOWNRIVER	daaw0 ri3 wqq2
DOWNRUSH	daaw0 rach3
DOWNRUSHING	daaw0 rach3 ching2
DOWNS	daaw0
DOWNSAMPLED	daaw0 sxxm0 phql2
DOWNSAMPLING	daaw0 sxxm0 phling2
DOWNSHIFT	daaw0 chif3 
DOWNSHIFTED	daaw0 chif3 thet1
DOWNSHIFTING	daaw0 chif3 ting2
DOWNSHIFTS	daaw0 chif3 
DOWNSIDE	daaw0 saj3
DOWNSIDES	daaw0 saj3 dis1
DOWNSIZE	daaw0 saj3
DOWNSIZED	daaw0 saj3 sit1
DOWNSIZERS	daaw0 saj3 sqqs2
DOWNSIZES	daaw0 saaj0 ses1
DOWNSIZING	daaw0 saj3 sing2
DOWNSIZINGS	daaw0 saj3 sing2
DOWNSTAGE	daaw0 sa1 theec1
DOWNSTAGING	daaw0 sa1 thqq0 cing2
DOWNSTAIR	daaw0 sa1 thxx0
DOWNSTAIRS	daaw0 sa1 thxxs2
DOWNSTATE	daaw0 sa1 theet1
DOWNSTATER	daaw0 sa1 theet1 thqq2
DOWNSTATERS	daaw0 sa1 theet1 thqq2
DOWNSTEP	daaw0 sa1 tep1
DOWNSTON	daaw0 sa1 tan3
DOWNSTREAM	daaw0 sa1 triim0
DOWNSTREAMED	daaw0 sa1 triim0 mit1
DOWNSTREAMING	daaw0 sa1 triim0 ming2
DOWNSTREET	daaw0 sa1 triit1
DOWNSTROKE	daaw0 sa1 trook1
DOWNSTROKES	daaw0 sa1 trook1 kis1
DOWNSWEPT	daaw0 sa1 wep3
DOWNSWING	daaw0 sa1 wing2
DOWNSWINGS	daaw0 sa1 wing2
DOWNSWIVEL	daaw0 sa1 wi3 wql2
DOWNTIDE	daaw0 thaj3
DOWNTIME	daaw0 thaam0
DOWNTIMES	daaw0 thaam0 mis1
DOWNTOWN	daaw0 thaaw0
DOWNTOWNER	daaw0 thaaw0 nqq2
DOWNTOWNERS	daaw0 thaaw0 nqq2
DOWNTOWNISH	daaw0 thaaw0 nich1
DOWNTOWNS	daaw0 thaaw0
DOWNTREADING	daaw0 threet1 ding2
DOWNTREND	daaw0 threen0
DOWNTRENDS	daaw0 threen0
DOWNTROD	daaw0 tr@@t3
DOWNTRODDEN	daaw0 tr@@t3 dqn2
DOWNTRODDENNESS	daaw0 tr@@t3 dqn0 nees1
DOWNTURN	daaw0 thqqn0
DOWNTURNED	daaw0 thqqn0 nit1
DOWNTURNING	daaw0 thqqn0 ning2
DOWNTURNS	daaw0 thqqn0
DOWNWARD	daaw0 waat1
DOWNWARDLY	daaw0 waat1 lii2
DOWNWARDNESS	daaw0 waat1 nees1
DOWNWARDS	daaw0 waat1
DOWNWIND	daaw0 waaj0
DOWNWINDER	daaw0 waaj0 dqq2
DOWNWINDERS	daaw0 waaj0 dqq2
DOWNY	daaw0 nii2
DOWRIES	daaw0 ris1
DOWRY	daaw0 rii2
DOWSABEL	daaw0 sa1 ee0 bql2
DOWSE	daaw3
DOWSED	daaw3 sit1
DOWSER	daaw3 sqq2
DOWSERS	daaw3 sqq2
DOWSES	daaw3 ses1
DOWSING	daaw3 sing2
DOXIES	d@k0 sii2
DOXOLOGIES	d@k3 soo0 loo0 cis1
DOXOLOGIZE	d@k3 soo0 loo0 caaj3
DOXOLOGY	d@k3 soo0 loo0 cii2
DOYEN	d@@j0 qn2
DOYENS	d@@j0 qn2
DOYLEY	d@@j0 lii2
DOYLEYS	d@@j0 lis3
DOYLIES	d@@j0 lis3
DOYLY	d@@j0 lii2
DOZE	doos2
DOZED	doos2 sit1
DOZEN	das3 sqn2
DOZENED	das3 sqn0 nit1
DOZENING	das3 sqn0 ning2
DOZENS	das3 sqn2
DOZER	das3 sqq2
DOZERS	das3 sqq2
DOZES	doos3 ses1
DOZIEST	doos3 si1 es1
DOZING	doos3 sing2
DOZY	doo0 sii2
DRAB	drxxp3
DRABBED	drxxp3 bit1
DRABBER	drxxp3 bqq2
DRABBEST	drxxp3 bees3
DRABBET	drxxp3 bet1
DRABBETS	drxxp3 bet1
DRABBING	drxxp3 bing2
DRABBLE	drxxp3 bql2
DRABBLED	drxxp3 bql0 lit1
DRABBLER	drxxp3 blqq2
DRABBLING	drxxp3 bling2
DRABINSKY	drxxp3 bin0 sa1 kaaj0
DRABKIN	drxxp3 kin2
DRABLOS	drxxp3 bloo0
DRABLY	drxxp3 blii2
DRABNESS	drxxp3 nees1
DRABS	drxxp3
DRACAENA	draa0 kee0 naa2
DRACAENAS	draa0 kee0 naas2
DRACHM	drxxk3
DRACHMA	drxxk3 maa2
DRACHMAE	drxxk3 mee2
DRACHMAS	drxxk3 maas2
DRACHMS	drxxk3
DRACONIAN	drql0 khoo0 niian2
DRACONIANISM	drql0 khoo0 niian0 ni3 svm2
DRACONIS	drql0 khoo0 nees1
DRAFF	drxf3 
DRAFT	draaf3 
DRAFTABLE	draaf3 thqq0 bql2
DRAFTED	draaf3 thet1
DRAFTEE	draaf3 thii2
DRAFTEED	draaf3 thiit1
DRAFTEES	draaf3 thii2
DRAFTER	draaf3 thqq2
DRAFTERS	draaf3 thqq2
DRAFTIER	draaf3 thiia0
DRAFTIEST	draaf3 thi1 es1
DRAFTILY	draaf3 thil0 lii2
DRAFTINESS	draaf3 thi1 nees1
DRAFTING	draaf3 ting2
DRAFTINGS	draaf3 ting2
DRAFTMAN	draaf3 mxxn0
DRAFTMANSHIP	draaf3 mxxn0 chip3
DRAFTS	draaf3 
DRAFTSMAN	draaf3 mxxn0
DRAFTSMANLY	draaf3 mxxn0 lii2
DRAFTSMANSHIP	draaf3 mxxn0 chip3
DRAFTSMEN	draaf3 men0
DRAFTWOMAN	draaf3 wuu3 mqn2
DRAFTY	draaf3 tii2
DRAG	drxk3
DRAGER	drxk3 kqq2
DRAGES	drxk3
DRAGGED	drxk3 cit1
DRAGGIER	drxk3 kiia0
DRAGGIEST	drxk3 ki1 es1
DRAGGILY	drxk3 ki1 lii2
DRAGGIN	drxk3 kin2
DRAGGINESS	drxk3 ki1 nees1
DRAGGING	drxk3 king2
DRAGGINGS	drxk3 king2
DRAGGLE	drxk3 kql2
DRAGGLED	drxk3 kql0 lit1
DRAGGLES	drxk3 kql2
DRAGGLING	drxk3 kling2
DRAGGLY	drxk3 klii2
DRAGGY	drxk3 kii2
DRAGHEAD	drxk3 heet3
DRAGHEADS	drxk3 heet3
DRAGHOUND	drxk3 haaw0
DRAGHOUNDS	drxk3 haaw0
DRAGLINE	drxk3 laaj0
DRAGLINES	drxk3 laaj0 nees1
DRAGMAN	drxk3 mxxn0
DRAGNET	drxk3 net3
DRAGNETS	drxk3 net3
DRAGOMAN	drxk3 koo0 mxxn0
DRAGOMANATE	drxk3 koo0 mql0 neet1
DRAGOMANISH	drxk3 koo0 mql0 nich1
DRAGOMANS	drxk3 koo0 mxxn0
DRAGOMEN	drxk3 koo0 men0
DRAGON	drxx0 koon2
DRAGONAIR	drxx2 koon2 nxx2
DRAGONAIRES	drxx2 koon2 nxx0 ris1
DRAGONDICTATE	drxx2 koon2 dik3 theet1
DRAGONDICTATES	drxx2 koon2 dik3 theet1
DRAGONE	drxx0 koon2
DRAGONES	drxx0 koon2 nees1
DRAGONESS	drxx0 koon2 nees1
DRAGONET	drxx0 koon2 net1
DRAGONETS	drxx0 koon2 net1
DRAGONETTE	drxx0 koon2 net1
DRAGONFLIES	drxx0 koon2 flaaj0 es1
DRAGONFLY	drxx0 koon2 flaaj0
DRAGONFLYS	drxx0 koon2 flaaj3
DRAGONHEAD	drxx0 koon2 heet3
DRAGONHEART	drxx0 koon2 haat3
DRAGONHOOD	drxx0 koon2 huut3
DRAGONISE	drxx0 koon2 naj3
DRAGONISES	drxx0 koon2 naj3 ses1
DRAGONISH	drxx0 koon2 nich1
DRAGONISM	drxx0 koon2 ni3 svm2
DRAGONIZE	drxx0 koon2 naj3
DRAGONIZES	drxx0 koon2 naaj0 ses1
DRAGONNADE	drxx0 koon2 neet1
DRAGONS	drxx0 koon2
DRAGOON	drxx0 kuun0
DRAGOONED	drxx0 kuun0 nit1
DRAGOONING	drxx0 kuun0 ning2
DRAGOONS	drxx0 kuun0
DRAGOS	drxk3 koos3
DRAGOUT	drxk3 aaw3
DRAGOUTS	drxk3 aaw3
DRAGROPE	drxk3 roop3
DRAGROPES	drxk3 roop3
DRAGS	drxk3
DRAGSMAN	drxk3 mxxn0
DRAGSMEN	drxk3 men0
DRAGSTAFF	drxk3 taaf3 
DRAGSTER	drxk3 tqq2
DRAGSTERS	drxk3 tqq2
DRAIN	dreen0
DRAINABLE	dreen0 nql0 bql2
DRAINAGE	dreen0 neec1
DRAINAGES	dreen0 neec3 cis1
DRAIND	dreen3
DRAINE	dreen0
DRAINED	dreen0 nit1
DRAINER	dreen0 nqq2
DRAINERS	dreen0 nqq2
DRAINING	dreen0 ning2
DRAININGS	dreen0 ning2
DRAINLESS	dreen0 les1
DRAINMAN	dreen0 mxxn0
DRAINPIPE	dreen0 paaj3
DRAINPIPED	dreen0 paaj3 phit1
DRAINPIPES	dreen0 paaj3 phis1
DRAINS	dreen0
DRAINVILLE	dreen0 wil0
DRAISE	drees1
DRAKE	dreek3
DRAKEFORD	dreek3 f@@t1
DRAKEMAN	dreek3 mxxn0
DRAKER	dreek3 kqq2
DRAKES	dreek3 kis2
DRAM	dram0
DRAMA	draa0 maa2
DRAMAMINE	draa0 mql0 maaj0
DRAMAS	draa0 maas2
DRAMAT	draa0 mxt1
DRAMATIC	draa0 mxt3 thik1
DRAMATICAL	draa0 mxt3 thi1 khql2
DRAMATICALLY	draa0 mxt3 thi1 khql2 lii2
DRAMATICAS	draa0 mxt3 thi1 khas3
DRAMATICISM	draa0 mxt3 thi1 sis3 svm2
DRAMATICK	draa0 mxt3 thik3
DRAMATICO	draa0 mxt3 thi1 khoo2
DRAMATICS	draa0 mxt3 thik1
DRAMATICULE	draa0 mxt3 thi1 khiw0 eel0
DRAMATIS	draa0 mql0 thii2
DRAMATISABLE	draa0 mql0 thaj3 bql2
DRAMATISABLES	draa0 mql0 thaj3 bql2
DRAMATISATION	draa0 mql0 thaj3 see0 chan0
DRAMATISATIONS	draa0 mql0 thaj3 see0 chan0
DRAMATISE	draa0 mql0 thaj3
DRAMATISED	draa0 mql0 thaj3 sit1
DRAMATISER	draa0 mql0 thaj3 sqq2
DRAMATISERS	draa0 mql0 thaj3 sqq2
DRAMATISES	draa0 mql0 thaj3 ses1
DRAMATISING	draa0 mql0 thaj3 sing2
DRAMATISM	draa0 mql0 thi3 svm2
DRAMATIST	draa0 mql0 this2
DRAMATISTS	draa0 mql0 this2
DRAMATIZABLE	draa0 mql0 thaj3 bql2
DRAMATIZABLES	draa0 mql0 thaj3 bql2
DRAMATIZATION	draa0 mql0 thaj3 see0 chan0
DRAMATIZATIONS	draa0 mql0 thaj3 see0 chan0
DRAMATIZE	draa0 mql0 thaj3
DRAMATIZED	draa0 mql0 thaj3 sit1
DRAMATIZER	draa0 mql0 thaj3 sqq2
DRAMATIZERS	draa0 mql0 thaj3 sqq2
DRAMATIZES	draa0 mql0 thaj3 ses1
DRAMATIZING	draa0 mql0 thaj3 sing2
DRAMATURGE	draa0 mql0 thqqc1
DRAMATURGES	draa0 mql0 thqqc3 cis1
DRAMATURGIC	draa0 mql0 thqq2 cik1
DRAMATURGICAL	draa0 mql0 thqq2 ci1 khql2
DRAMATURGICALLY	draa0 mql0 thqq2 ci1 khql2 lii2
DRAMATURGIST	draa0 mql0 thqq2 cis3
DRAMATURGY	draa0 mql0 thqq2 cii2
DRAMBUIE	draam0 biw0 ii1
DRAMME	draam2
DRAMMED	draam0 mit1
DRAMMER	draam0 mqq2
DRAMMIES	draam0 mis3
DRAMMING	draam0 ming2
DRAMS	draam2
DRAMSHOP	draam2 ch@p1
DRANK	drxxng3
DRANKED	drxxng3 kit1
DRAPE	dreep3
DRAPEABLE	dreep3 phee0 bql2
DRAPED	dreep3 phit1
DRAPER	dreep3 phqq2
DRAPERIES	dreep3 phql0 ris1
DRAPERS	dreep3 phqq2
DRAPERY	dreep3 phql0 rii2
DRAPES	dreep3 phqq2
DRAPIER	dreep3 phiia0
DRAPING	dreep3 ping2
DRAPINGS	dreep3 ping2
DRASTIC	drxxs3 taaj3
DRASTICALLY	drxxs3 thi1 khql2 lii2
DRASTICE	drxxs3 this1
DRASTY	drxxs3 tii2
DRAT	drxt3
DRATMAN	drxt3 mxxn0
DRATS	drxt3
DRATTED	drxt3 thet1
DRATTING	drxt3 ting2
DRAUGHT	draaf3 
DRAUGHTED	draaf3 thet1
DRAUGHTIER	draaf3 thiia0
DRAUGHTIEST	draaf3 thi1 es1
DRAUGHTING	draaf3 ting2
DRAUGHTS	draaf3 
DRAUGHTSMAN	draaf3 mxxn0
DRAUGHTSMANSHIP	draaf3 mxn2 chip3
DRAUGHTSMEN	draaf3 men0
DRAUGHTSMEN	draaf3 men0
DRAUGHTY	draaf3 tii2
DRAVID	draa0 wit1
DRAVIDIAN	draa0 wi1 diian2
DRAVIDIANS	draa0 wi1 diian2
DRAW	dr@@0
DRAWABLE	dr@@0 ee0 bql2
DRAWAL	dr@@0 w@l0
DRAWBACK	dr@@0 bxk3
DRAWBACKS	dr@@0 bxk3
DRAWBAR	dr@@0 baa0
DRAWBARS	dr@@0 baa0
DRAWBOARD	dr@@0 b@@t1
DRAWBORE	dr@@0 b@@0
DRAWBRIDGE	dr@@0 bric1
DRAWBRIDGES	dr@@0 bric3 cis1
DRAWDOWN	dr@@0 daaw0
DRAWDOWNS	dr@@0 daaw0
DRAWED	dr@@0 wit1
DRAWEE	dr@@0 wii2
DRAWER	dr@@0 wqq2
DRAWERS	dr@@0 wqq2
DRAWES	dr@@0 es1
DRAWING	dr@@0 ing2
DRAWINGS	dr@@0 ing2
DRAWL	droo0
DRAWLED	droo0 lit1
DRAWLER	droo0 lqq2
DRAWLERS	droo0 lqq2
DRAWLING	droo0 ling2
DRAWLINGLY	droo0 ling0 lii2
DRAWLINGNESS	droo0 ling0 nees1
DRAWLINK	droo0 ling3
DRAWLS	droo0
DRAWLY	droo0 lii2
DRAWN	dr@@n0
DRAWNS	dr@@n0
DRAWS	dr@@0
DRAWSTRING	dr@@0 sa1 tring2
DRAWSTRINGS	dr@@0 sa1 tring2
DRAWTUBE	dr@@0 thuup3
DRAY	dree0
DRAYAGE	dree0 eec1
DRAYAGES	dree0 eec1 cis1
DRAYED	dree0 it1
DRAYER	dree0 jqq2
DRAYING	dree0 ing2
DRAYMAN	dree0 mxxn0
DRAYMEN	dree0 men0
DRAYS	drees1
DRAYTON	dree0 than2
DREAD	dreet3
DREADED	dreet3 det1
DREADER	dreet3 dqq2
DREADFUL	dreet3 fuul0
DREADFULL	dreet3 fuul0
DREADFULLY	dreet3 fuul0 lii2
DREADFULNESS	dreet3 fuul0 nees1
DREADFULS	dreet3 fuul0
DREADING	dreet3 ding2
DREADINGLY	dreet3 ding0 lii2
DREADLESS	dreet3 les1
DREADLESSLY	dreet3 les3 lii2
DREADLESSNESS	dreet3 les3 nees1
DREADLOCK	dreet3 l@k3
DREADLOCKED	dreet3 l@k3 kit1
DREADLOCKS	dreet3 l@k3
DREADLY	dreet3 lii2
DREADNOUGHT	dreet3 noot3
DREADNOUGHTS	dreet3 noot3
DREADS	dreet3
DREAM	driim0
DREAMCOAT	driim0 kh@@t1
DREAMD	driim3
DREAMED	driim0 mit1
DREAMER	driim0 mqq2
DREAMERS	driim0 mqq2
DREAMERY	driim0 mql0 rii2
DREAMES	driim0 mis1
DREAMIER	driim0 miia0
DREAMIER	driim0 miia0
DREAMIEST	driim0 mi3 es1
DREAMILY	driim0 mi1 lii2
DREAMING	driim0 ming2
DREAMINGLY	driim0 ming2 lii2
DREAMINGS	driim0 ming2
DREAMLAND	driim0 lxxn0
DREAMLANDS	driim0 lxxn0
DREAMLESS	driim0 les1
DREAMLESSLY	driim0 les3 lii2
DREAMLESSNESS	driim0 les3 nees1
DREAMLET	driim0 let1
DREAMLIKE	driim0 laj3
DREAMS	driim0
DREAMT	driim3
DREAMWORK	driim0 wqqk3
DREAMWORKER	driim0 wqqk3 kqq2
DREAMWORKERS	driim0 wqqk3 kqq2
DREAMWORKS	driim0 wqqk3
DREAMWORLD	driim0 wqql2
DREAMWORLDS	driim0 wqql2
DREAMY	driim0 mii2
DREAR	driia0
DREARIER	driia0 riia0
DREARIES	driia0 ris1
DREARIEST	driia0 ri1 es1
DREARILY	driia0 ril0 lii2
DREARINESS	driia0 rin2 nees1
DREARISOME	driia0 ris3 svm2
DREARS	driia0
DREARY	driia0 rii2
DREDGE	dreec3
DREDGED	dreec3 cit1
DREDGER	dreec3 cqq2
DREDGERS	dreec3 cqq2
DREDGES	dreec3 cis1
DREDGING	dreec3 cing2
DREDGINGS	dreec3 cing2
DREGGY	drek3 kii2
DREGS	drek1
DRENCH	dreen3
