PA	phaa0
PROSELYTIZE	phr@s3 sq1 li3 thaj3
PROSELYTIZED	phr@s3 sq1 li3 thaj3
PROSELYTIZER	phr@s3 sq1 li3 thaj3 sqq2
PROSELYTIZERS	phr@s3 sq1 li3 thaj3 sqq2
PROSELYTIZES	phr@s3 sq1 li3 thaj3 ses1
PROSELYTIZING	phr@s3 sq1 li3 thaj3 sing2
PROSEMAN	phroos3 mxxn0
PROSEN	phroos3 sen2
PROSEQUI	phroos3 khii2
PROSER	phroos3 sqq2
PROSERS	phroos3 sqq2
PROSERVE	phroo0 sqqf3
PROSERVICES	phroo0 sqq0 wis3 ses1
PROSES	phroos3 ses1
PROSHARE	phroo0 chxx0
PROSIER	phroo0 si1 qq2
PROSIEST	phroo0 si1 es1
PROSILIENCY	phroo0 si1 liian0 sii2
PROSILIENT	phroo0 si1 liian3
PROSILIENTLY	phroo0 si1 liian3 lii2
PROSILY	phroo0 si1 lii2
PROSINESS	phroo0 si1 nees1
PROSING	phroos3 sing2
PROSINGLY	phroos3 sing2 lii2
PROSIT	phroo0 sit1
PROSKI	phroos3 kii2
PROSKY	phroos3 kii2
PROSLAVERY	phroo0 sa1 laaf3 wqq0 rii2
PROSODIC	phr@@s3 soo0 dik1
PROSODICAL	phr@@s3 soo0 di3 kh@l2
PROSODICALLY	phr@@s3 soo0 di3 khq1 lii2
PROSODICS	phr@@s3 soo0 dik1
PROSODIST	phr@s3 sa1 dis3
PROSODISTS	phr@s3 sa1 dis3
PROSODY	phr@s3 sa1 dii2
PROSPEC	phroos3 pek1
PROSPECT	phr@s3 sa1 pek3
PROSPECTED	phrq1 sa1 pek3 thet1
PROSPECTEES	phrq1 sa1 pek3 thii2
PROSPECTER	phrq1 sa1 pek3 tqq2
PROSPECTING	phrq1 sa1 pek3 ting2
PROSPECTINGS	phrq1 sa1 pek3 ting2
PROSPECTION	phrq1 sa1 pek3 chan2
PROSPECTIONS	phrq1 sa1 pek3 chan2
PROSPECTIVE	phrq1 sa1 pek3 thiif1
PROSPECTIVELY	phrq1 sa1 pek3 thiif1 lii2
PROSPECTIVENESS	phrq1 sa1 pek3 thiif1 nees1
PROSPECTIVES	phrq1 sa1 pek3 thiif1
PROSPECTIVITY	phrq1 sa1 pek3 thi1 wi3 tii2
PROSPECTLESS	phrq1 sa1 pek3 lees1
PROSPECTOR	phrq1 sa1 pek3 tqq2
PROSPECTORS	phrq1 sa1 pek3 tqq2
PROSPECTS	phrq1 sa1 pek3
PROSPECTS	phr@s3 sa1 pek3
PROSPECTUS	phrq1 sa1 pek3 tas3
PROSPECTUSES	phrq1 sa1 pek3 tas3 ses1
PROSPECULATION	phroo0 sa1 pek3 khiw0 lee0 chan2
PROSPER	phr@s3 pqq2
PROSPERA	phr@s3 phq1 raa2
PROSPERATION	phr@s3 phq1 ree0 chan2
PROSPERED	phr@s3 phqq2
PROSPERI	phr@s3 phqq0 rii2
PROSPERING	phr@s3 phqq0 ring2
PROSPERITIES	phr@s3 phqq0 ri3 tii2
PROSPERITY	phr@s3 phqq0 ri3 tii2
PROSPEROUS	phr@s3 phq1 rqqs2
PROSPEROUSLY	phr@s3 phq1 ras3 lii2
PROSPEROUSNESS	phr@s3 phq1 ras3 nees1
PROSPERS	phr@s3 phqq2
PROSPERUS	phr@s3 phqq0 ras3
PROSPICE	phroo0 sa1 paaj3
PROSPORT	phroo0 sa1 poot1
PROSPORTS	phroo0 sa1 poot1
PROSTAR	phroo0 sa1 taa0
PROSTARS	phroo0 sa1 taas2
PROSTATE	phroo0 sa1 teet1
PROSTATES	phroo0 sa1 teet1
PROSTATIC	phroo0 sa1 txx0 tik1
PROSTATISM	phr@s3 thxx0 this3 svm2
PROSTEP	phroo0 sa1 tep1
PROSTERMAN	phroos3 tqq2 mxxn0
PROSTHESES	phroo0 sa1 thii0 ses1
PROSTHESIS	phr@s3 thii0 sis1
PROSTHETIC	phr@s3 thee0 tik1
PROSTHETICALLY	phr@s3 thee0 ti3 khq1 lii2
PROSTHETICS	phr@s3 thee0 tik1
PROSTIC	phr@s3 tik3
PROSTIE	phroo0 sa1 taaj0
PROSTIN	phr@s3 tin2
PROSTITION	phr@s3 thich3 chan2
PROSTITITION	phr@s3 thich3 chan2
PROSTITUES	phr@s3 thi1 thiw3
PROSTITUTE	phr@s3 thi1 thiw3
PROSTITUTED	phr@s3 thi1 thiw3 thet1
PROSTITUTELY	phr@s3 thi1 thiw3 lii2
PROSTITUTES	phr@s3 thi1 thiw3
PROSTITUTING	phr@s3 thi1 thiw3 ting2
PROSTITUTION	phr@s3 thi1 thiw3 chan2
PROSTITUTIONAL	phr@s3 thi1 thiw3 chan2 n@l2
PROSTITUTOR	phr@s3 thi1 thiw3 tqq2
PROSTOR	phroos3 tqq2
PROSTRATE	phr@s3 threet1
PROSTRATED	phr@s3 threet3 thet1
PROSTRATES	phr@s3 threet1
PROSTRATING	phr@s3 threet3 ting2
PROSTRATION	phr@s3 three0 chan2
PROSTRATIONS	phr@s3 three0 chan2
PROSTRATIVE	phr@s3 three0 thiif1
PROSTRATOR	phr@s3 three0 tqq2
PROSTRATUM	phr@s3 thraa0 tham2
PROSTRETCH	phr@s3 threch3
PROSTRIKE	phroo0 sa1 traj3
PROSTYLE	phroo0 sa1 taaj0
PROSTYLES	phroo0 sa1 taaj0
PROSUFFRAGE	phroo0 saf3 fric1
PROSY	phroo0 sii2
PROSYS	phroo0 sii2
PROTAGON	phroo0 thxk3 k@n2
PROTAGONISM	phroo0 thxk3 kq1 nis3 svm2
PROTAGONIST	phroo0 thxk3 kq1 nis3
PROTAGONISTS	phroo0 thxk3 kq1 nis3
PROTAGORAS	phroo0 thxk3 kq1 raas2
PROTAGOREAN	phroo0 thxk3 kq1 riian2
PROTASES	phr@@0 thee0 ses1
PROTASIS	phr@@0 thee0 sis1
PROTAXIS	phroo0 thxk3 sis1
PROTEA	phroo0 thiia0
PROTEAN	phroo0 thiian2
PROTEAS	phroo0 thiias2
PROTEASE	phroo0 thiis3
PROTEASES	phroo0 thiis3 ses1
PROTEC	phroo0 thek1
PROTECH	phroo0 thek1
PROTECHNICAL	phroo0 thek3 ni1 kh@l2
PROTECHNOLOGY	phroo0 thek3 noo0 lq1 cii2
PROTECING	phroo0 thek3 king2
PROTECT	phroo0 thek1
PROTECTABILITY	phroo0 thek3 tha1 bi1 li3 tii2
PROTECTABLE	phroo0 thek3 thee0 bql2
PROTECTANT	phroo0 thek3 thxxn3
PROTECTANTS	phroo0 thek3 thxxn3
PROTECTED	phroo0 thek3 thet1
PROTECTEDNESS	phroo0 thek3 thet1 nees1
PROTECTEES	phroo0 thek3 thii2
PROTECTER	phroo0 thek3 tqq2
PROTECTERS	phroo0 thek3 tqq2
PROTECTIBLE	phroo0 thek3 thi1 bql2
PROTECTING	phroo0 thek3 ting2
PROTECTINGLY	phroo0 thek3 ting2 lii2
PROTECTION	phroo0 thek3 chan2
PROTECTIONAL	phroo0 thek3 chan2 n@l2
PROTECTIONATE	phroo0 thek3 chan2 neet1
PROTECTIONISE	phroo0 thek3 chan2 naj3
PROTECTIONISES	phroo0 thek3 chan2 naj3 ses1
PROTECTIONISM	phroo0 thek3 chan2 nis3 svm2
PROTECTIONIST	phroo0 thek3 chan2 nis3
PROTECTIONISTS	phroo0 thek3 chan2 nis3
PROTECTIONIZE	phroo0 thek3 chan2 naj3
PROTECTIONIZES	phroo0 thek3 chan2 naj3 ses1
PROTECTIONLESS	phroo0 thek3 chan2 n@l2 lees1
PROTECTIONS	phroo0 thek3 chan2
PROTECTIONSHIP	phroo0 thek3 chan2 chip3
PROTECTIVE	phroo0 thek3 thiif1
PROTECTIVELY	phroo0 thek3 thiif1 lii2
PROTECTIVENESS	phroo0 thek3 thiif1 nees1
PROTECTOGRAPH	phroo0 thek3 thoo0 kraaf3
PROTECTON	phroo0 thek3 tan2
PROTECTONIST	phroo0 thek3 tan2 nis3
PROTECTOR	phroo0 thek3 tqq2
PROTECTORAL	phroo0 thek3 thq1 r@l2
PROTECTORATE	phroo0 thek3 thq1 reet1
PROTECTORATES	phroo0 thek3 thq1 reet1
PROTECTORIAL	phroo0 thek3 th@@0 riial2
PROTECTORIAN	phroo0 thek3 thq1 riian2
PROTECTORS	phroo0 thek3 tqq2
PROTECTORSHIP	phroo0 thek3 tqq2 chip3
PROTECTORY	phroo0 thek3 thq1 rii2
PROTECTRED	phroo0 thek3 thret1
PROTECTRESS	phroo0 thek3 thres1
PROTECTRESSES	phroo0 thek3 thres3 ses1
PROTECTRIX	phroo0 thek3 thrik1
PROTECTS	phroo0 thek1
PROTEGE	phroo0 thq1 chee0
PROTEGEE	phroo0 thq1 chee0
PROTEGEES	phroo0 thq1 chees1
PROTEGER	phroo0 thq1 chqq2
PROTEGES	phroo0 thq1 chees1
PROTEID	phroo0 thiit1
PROTEIN	phroo0 thiin0
PROTEINES	phroo0 thiin0
PROTEINS	phroo0 thiin0
PROTEND	phroo0 theen0
PROTENNIS	phroo0 theen0 nis3
PROTENSION	phroo0 theen0 chan2
PROTENSITY	phroo0 theen0 si1 tii2
PROTENSIVE	phroo0 theen0 siif1
PROTENSIVELY	phroo0 theen0 siif1 lii2
PROTENTIAL	phroo0 theen0 chiial2
PROTENTIATE	phroo0 theen0 chi3 eet1
PROTENTIATION	phroo0 theen0 chi3 ee0 chan2
PROTES	phroot3
PROTESS	phroo0 thees1
PROTEST	phroo0 thees3
PROTESTABLE	phroo0 thees3 thee0 bql2
PROTESTANCY	phroo0 thees3 thxn0 sii2
PROTESTAND	phroo0 thees3 thxxn0
PROTESTANISM	phroo0 thees3 thxx0 nis3 svm2
PROTESTANT	phroo0 txxs3 txxn3
PROTESTANTES	phroo0 txxs3 txxn3
PROTESTANTISES	phroo0 txxs3 txxn3 ses1
PROTESTANTISH	phroo0 txxs3 txxn3 thich1
PROTESTANTISHLY	phroo0 txxs3 txxn3 thich3 lii2
PROTESTANTISM	phroo0 txxs3 txxn3 this3 svm2
PROTESTANTIZATION	phroo0 txxs3 txxn3 thaj3 see0 chan2
PROTESTANTIZE	phroo0 txxs3 txxn3 thaj3
PROTESTANTIZED	phroo0 txxs3 txxn3 thaj3
PROTESTANTIZES	phroo0 txxs3 txxn3 thaj3 ses1
PROTESTANTIZING	phroo0 txxs3 txxn3 thaj3 sing2
PROTESTANTLIKE	phroo0 txxs3 txxn3 laj3
PROTESTANTLY	phroo0 txxs3 txxn3 lii2
PROTESTANTS	phroo0 txxs3 txxn3
PROTESTAS	phroo0 thees3 taas2
PROTESTATION	phroo0 thees3 thee0 chan2
PROTESTATIONS	phroo0 thees3 thee0 chan2
PROTESTATOR	phroo0 thees3 thee0 tqq2
PROTESTED	phroo0 thees3 thet1
PROTESTER	phroo0 thees3 tqq2
PROTESTERS	phroo0 thees3 tqq2
PROTESTES	phroo0 thees1
PROTESTING	phroo0 thees3 ting2
PROTESTINGLY	phroo0 thees3 ting2 lii2
PROTESTIVE	phroo0 thees3 thiif1
PROTESTON	phroo0 thees3 tan3
PROTESTOR	phroo0 thees3 tqq2
PROTESTORS	phroo0 thees3 tqq2
PROTESTS	phroo0 thees3
PROTESTS	phroo0 thees3
PROTEX	phroo0 thek3
PROTEXT	phroo0 thek1
PROTEXTER	phroo0 thek3 sa1 tqq2
PROTHALLIUM	phroo0 thxxl0 liiam2
PROTHESES	phr@t3 this3 ses1
PROTHESIS	phr@t3 this3 sis1
PROTHORACIC	phroo0 th@@0 rxxs3 sik3
PROTHORAX	phroo0 th@@0 rxk3
PROTHROW	phroo0 throo0
PROTIUM	phroo0 thiiam2
PROTOCOCCUS	phroo0 too0 kh@k3 kas2
PROTOCOL	phroo0 too0 kh@@l0
PROTOCOLED	phroo0 too0 kh@@l0
PROTOCOLEOPTERA	phroo0 too0 kh@@0 lii0 @p3 thq1 raa2
PROTOCOLEOPTERAN	phroo0 too0 kh@@0 lii0 @p3 thq1 ran2
PROTOCOLEOPTEROUS	phroo0 thoo0 kh@@0 lii0 @p3 thq1 rqqs2
PROTOCOLING	phroo0 too0 kh@@l0 ling2
PROTOCOLS	phroo0 thoo0 kh@@l0
PROTOLERATION	phroo0 thoo0 lq1 ree0 chan2
PROTOLEUCOCYTE	phroo0 thoo0 luu0 khq1 saj3
PROTOLOGIST	phroo0 thoo0 lq1 cis3
PROTON	phroo0 t@n0
PROTONATE	phroo0 t@n0 neet1
PROTONATED	phroo0 t@n0 neet3 thet1
PROTONIC	phroo0 t@n0 nik1
PROTONICKEL	phroo0 t@n0 ni3 khql2
PROTONS	phroo0 t@n0
PROTONSIL	phroo0 th@@n0 sil0
PROTOPLANET	phroo0 too0 phlxx0 net1
PROTOPLANETARY	phroo0 too0 phlxx0 net3 too0 rii2
PROTOPLANETS	phroo0 too0 phlxx0 net1
PROTOPLASM	phroo0 too0 phlxxs3 svm2
PROTOPLASMA	phroo0 too0 phlxxs3 maa2
PROTOPLASMAL	phroo0 too0 phlxxs3 m@l2
PROTOPLASMATIC	phroo0 too0 phlxxs3 mee0 thik1
PROTOPLASMIC	phroo0 too0 phlxxs3 mik1
PROTOPLAST	phroo0 too0 phlaas3
PROTOPLASTIC	phroo0 too0 phlxxs3 tik1
PROTOPLASTS	phroo0 too0 phlaas3
PROTOTYPAL	phroo0 too0 thaj3 p@l2
PROTOTYPE	phroo0 too0 thaj3
PROTOTYPED	phroo0 too0 thaj3
PROTOTYPER	phroo0 too0 thaj3 pqq2
PROTOTYPES	phroo0 too0 thaj3
PROTOTYPING	phroo0 too0 thaj3 ping2
PROTOTYPOGRAPHER	phroo0 too0 thaj3 ph@@0 kraaf3 fqq2
PROTOZOA	phroo0 too0 suua0
PROTOZOIC	phroo0 too0 soo0 ik1
PROTOZOON	phroo0 too0 soon0
PROTRAC	phroo0 thrxk3
PROTRACT	phroo0 thrxk3
PROTRACTA	phroo0 thrxk3 taa2
PROTRACTE	phroo0 thrxk3
PROTRACTED	phroo0 thrxk3 thet1
PROTRACTEDLY	phroo0 thrxk3 thet1 lii2
PROTRACTEDNESS	phroo0 thrxk3 thet1 nees1
PROTRACTER	phroo0 thrxk3 tqq2
PROTRACTIBLE	phroo0 thrxk3 thi1 bql2
PROTRACTILE	phroo0 thrxk3 thaaj0
PROTRACTING	phroo0 thrxk3 ting2
PROTRACTION	phroo0 thrxk3 chan2
PROTRACTIONS	phroo0 thrxk3 chan2
PROTRACTIVE	phroo0 thrxk3 thiif1
PROTRACTOR	phroo0 thrxk3 tqq2
PROTRACTORS	phroo0 thrxk3 tqq2
PROTRACTS	phroo0 thrxk3
PROTRAGEDY	phroo0 thrxc3 ci1 dii2
PROTRAGICAL	phroo0 thrxc3 ci1 kh@l2
PROTRAN	phroo0 thraan0
PROTRANSFER	phroo0 thraan0 sa1 fqq2
PROTRANSLATION	phroo0 thraan0 sa1 lee0 chan2
PROTRANSUBSTANTIATION	phroo0 thrxxn0 sap3 sa1 txxn0 chi3 ee0 chan2
PROTRAVEL	phroo0 thrxx3 weel2
PROTROPIC	phroo0 thr@p3 pik1
PROTROPICAL	phroo0 thr@p3 pi1 kh@l2
PROTROPIN	phroo0 thr@p3 pin2
PROTRUDE	phroo0 thruut3
PROTRUDED	phroo0 thruut3 det1
PROTRUDENS	phroo0 thruu0 den2
PROTRUDENT	phroo0 thruu0 den3
PROTRUDES	phroo0 thruut3
PROTRUDING	phroo0 thruut3 ding2
PROTRUSION	phroo0 thruu0 chan2
PROTRUSIONS	phroo0 thruu0 chan2
PROTRUSIVE	phroo0 thruu0 siif1
PROTRUSIVELY	phroo0 thruu0 siif1 lii2
PROTRUSIVENESS	phroo0 thruu0 siif1 nees1
PROTUBERANCE	phroo0 thiw3 bqq0 rxxn3
PROTUBERANCES	phroo0 thiw3 bqq0 rxxn3 ses1
PROTUBERANCY	phroo0 thiw3 bqq0 rxxn0 sii2
PROTUBERANS	phroo0 thiw3 bqq0 rxxn2
PROTUBERANT	phroo0 thiw3 bqq0 rxxn3
PROTUBERANTLY	phroo0 thiw3 bqq0 rxxn3 lii2
PROTUBERATE	phroo0 thiw3 bqq0 reet1
PROTUBEROUS	phroo0 thiw3 bqq0 rqqs2
PROUD	phraaw0
PROUDED	phraaw0 det1
PROUDER	phraaw0 dqq2
PROUDEST	phraaw0 des1
PROUDFIT	phraaw0 fit1
PROUDFOOT	phraaw0 fut3
PROUDLY	phraaw0 lii2
PROUDNESS	phraaw0 nees1
PROUNION	phroo0 juu0 niian2
PROUSE	phruus3
PROUSED	phruus3
PROUSSE	phruus3 see2
PROUSTIAN	phruus3 tiian2
PROUT	phraaw3
PROUTS	phraaw3
PROVABILITY	phruuf3 wq1 bi1 li3 tii2
PROVABLE	phruuf3 wee0 bql2
PROVABLENESS	phruuf3 wee0 bql2 nees1
PROVABLY	phruuf3 wee0 blii2
PROVAL	phruuf3 w@l2
PROVAN	phroo0 wxxn0
PROVAND	phroo0 wxxn0
PROVANT	phroo0 wxxn3
PROVASCULAR	phroo0 wxs3 khiw0 laa2
PROVE	phruuf3
PROVED	phruuf3
PROVEMENT	phruuf3 men3
PROVEMENTS	phruuf3 men3
PROVEN	phruuf3 wen2
PROVENAL	phroo0 wii0 n@l2
PROVENALS	phroo0 wii0 n@l2
PROVENANCE	phr@@0 wq1 nxxn3
PROVENANCED	phr@@0 wq1 nxxn3
PROVENANCES	phr@@0 wq1 nxxn3 ses1
PROVENANCING	phr@@0 wq1 nxxn3 sing2
PROVENANT	phr@@0 wq1 nxxn3
PROVENCE	phr@@0 wen2
PROVENCES	phr@@0 wen3 ses1
PROVENDER	phr@@0 wen0 dqq2
PROVENDOR	phr@@0 wen0 dqq2
PROVENLY	phr@@0 wen3 lii2
PROVENOR	phruuf3 nqq2
PROVENTIL	phroo0 wen0 thil2
PROVENTRICULAR	phroo0 wen0 thri3 khiw0 laa2
PROVENTRICULE	phroo0 wen0 thri3 khiw0
PROVENTRICULUS	phroo0 wen0 thri3 khiw0 las3
PROVENTURE	phroo0 wen0 chqq2
PROVER	phruuf3 wqq2
PROVERA	phroo0 wiia0 raa2
PROVERB	phroo0 wqqp3
PROVERBED	phroo0 wqqp3
PROVERBIAL	phroo0 wqqp3 biial2
PROVERBIALIZE	phroo0 wqqp3 biial2 laj3
PROVERBIALIZES	phroo0 wqqp3 biial2 laj3 ses1
PROVERBIALLY	phroo0 wqqp3 biial2 lii2
PROVERBIALS	phroo0 wqqp3 biial2
PROVERBING	phroo0 wqqp3 bing2
PROVERBS	phroo0 wqqp3
PROVERS	phruuf3 wqq2
PROVES	phruuf3
PROVIDABLE	phroo0 waaj0 dee0 bql2
PROVIDE	phroo0 waaj0
PROVIDED	phroo0 waaj0 det1
PROVIDEES	phroo0 waaj0
PROVIDENCE	phroo0 wi1 den3
PROVIDENCES	phroo0 wi1 den3 ses1
PROVIDENT	phroo0 wi1 den3
PROVIDENTIA	phroo0 wi1 den0 chiia0
PROVIDENTIAL	phroo0 wi1 den0 chiial2
PROVIDENTIALISM	phroo0 wi1 den0 chiial2 lis3 svm2
PROVIDENTIALIST	phroo0 wi1 den0 chiial2 lis3
PROVIDENTIALLY	phroo0 wi1 den0 chiial0 lii2
PROVIDENTLY	phroo0 wi1 den3 lii2
PROVIDER	phroo0 waaj0 dqq2
PROVIDERS	phroo0 waaj0 dqq2
PROVIDES	phroo0 waaj0
PROVIDING	phroo0 waaj0 ding2
PROVIGO	phroo0 wii0 koo2
PROVIN	phroo0 win2
PROVINCE	phroo0 win3
PROVINCES	phroo0 win3 ses1
PROVINCETOWN	phroo0 win3 thaaw0
PROVINCIAL	phroo0 win3 chiial2
PROVINCIALIS	phroo0 win3 chiial2 lis3
PROVINCIALISATION	phroo0 win3 chiial2 laj3 see0 chan2
PROVINCIALISES	phroo0 win3 chiial2 laj3 ses1
PROVINCIALISM	phroo0 win3 chiial2 lis3 svm2
PROVINCIALISMS	phroo0 win3 chiial2 lis3 svm2
PROVINCIALIST	phroo0 win3 chiial2 lis3
PROVINCIALITY	phroo0 win3 chiial2 li3 tii2
PROVINCIALIZATION	phroo0 win3 chiial2 laj3 see0 chan2
PROVINCIALIZE	phroo0 win3 chiial2 laj3
PROVINCIALIZES	phroo0 win3 chiial2 laj3 ses1
PROVINCIALLY	phroo0 win3 chiial0 lii2
PROVINCIALS	phroo0 win3 chiial2
PROVINE	phroo0 waaj0
PROVING	phruuf3 wing2
PROVINGLY	phruuf3 wing2 lii2
PROVINGS	phruuf3 wing2
PROVINS	phroo0 win2
PROVISE	phroo0 waaj3
PROVISION	phroo0 wi3 chan2
PROVISIONAL	phroo0 wi3 chan2 n@l2
PROVISIONALISM	phroo0 wi3 chqq0 n@l2 lis3 svm2
PROVISIONALLY	phroo0 wi3 chan2 n@l2 lii2
PROVISIONALS	phroo0 wi3 chqq0 n@l2
PROVISIONARY	phroo0 wi3 chan2 nq1 rii2
PROVISIONED	phroo0 wi3 chan2
PROVISIONING	phroo0 wi3 chan2 ning2
PROVISIONLESS	phroo0 wi3 chan2 lees1
PROVISIONS	phroo0 wi3 chan2
PROVISO	phroo0 waaj3 soo2
PROVISOES	phroo0 waaj3 soos2
PROVISOR	phroo0 waaj3 sqq2
PROVISORS	phroo0 waaj3 sqq2
PROVISORY	phroo0 waaj3 sa1 rii2
PROVISOS	phroo0 waaj3 soos2
PROVITA	phroo0 waaj3 taa2
PROVOCABLE	phroo0 wook3 khee0 bql2
PROVOCATEUR	phroo0 w@k3 khq1 tqq2
PROVOCATEURS	phroo0 w@k3 khq1 tqq2
PROVOCATION	phroo0 wq1 khee0 chan2
PROVOCATIONAL	phroo0 wq1 khee0 chan2 n@l2
PROVOCATIONS	phroo0 wq1 khee0 chan2
PROVOCATIVE	phroo0 wq1 khee0 thiif1
PROVOCATIVELY	phroo0 wq1 khee0 thiif1 lii2
PROVOCATIVENESS	phroo0 wq1 khee0 thiif1 nees1
PROVOCATORY	phroo0 wq1 khee0 thq1 rii2
PROVOKE	phroo0 wook3
PROVOKED	phroo0 wook3 ket1
PROVOKER	phroo0 wook3 kqq2
PROVOKERS	phroo0 wook3 kqq2
PROVOKES	phroo0 wook3
PROVOKING	phroo0 wook3 king2
PROVOKINGLY	phroo0 wook3 king0 lii2
PROVOST	phroo0 woos3
PROVOSTESS	phroo0 wqs3 thes1
PROVOSTS	phroo0 woos3
PROVOSTSHIP	phroo0 woos3 chip3
PROW	phraaw0
PROWANT	phroo0 w@@n3
PROWAR	phroo0 w@@0
PROWED	phraaw0
PROWELL	phroo0 weel0
PROWESS	phraaw0 wes1
PROWESSED	phraaw0 wes3
PROWESSES	phraaw0 wes2 ses1
PROWEST	phraaw0 wees3
PROWL	phraaw0 wql2
PROWLED	phraaw0 wql2
PROWLER	phraaw0 lqq2
PROWLERS	phraaw0 lqq2
PROWLING	phraaw0 ling2
PROWLINGLY	phraaw0 ling2 lii2
PROWLINGS	phraaw0 ling2
PROWLS	phraaw0
PROWS	phraaw0
PROWSE	phraaw3
PROX	phr@k3
PROXICALLY	phr@k3 si1 khq1 lii2
PROXIED	phr@k0 sii2
PROXIES	phr@k0 sii2
PROXIMA	phr@k3 si1 maa2
PROXIMAD	phr@k3 si1 mxt3
PROXIMAL	phr@k3 si1 m@l2
PROXIMALLY	phr@k3 si1 m@l2 lii2
PROXIMATE	phr@k3 si1 meet1
PROXIMATELY	phr@k3 si1 meet3 lii2
PROXIMATION	phr@k3 si1 mee0 chan2
PROXIMITIES	phr@k3 si1 mi3 tii2
PROXIMITY	phr@k3 si1 mi3 tii2
PROXIMO	phr@k3 si1 moo2
PROXIMOS	phr@k3 si1 moos2
PROXMIRE	phr@k3 sa1 maaj0 qq2
PROXY	phr@k0 sii2
PRU	phruu0
PRUCAPITAL	phruu0 khxp3 phi1 th@l2
PRUDE	phruut3
PRUDELY	phruut3 lii2
PRUDEN	phruu0 den2
PRUDENCE	phruu0 den3
PRUDENCES	phruu0 den3 ses1
PRUDENT	phruu0 den3
PRUDENTE	phruu0 den3 tii2
PRUDENTER	phruu0 den0 tqq2
PRUDENTIA	phruu0 den0 chiia0
PRUDENTIAL	phruu0 den0 chiial2
PRUDENTIAL	phruu0 den0 chiial2
PRUDENTIALBACHE	phruu0 den0 chiial2 bxk3
PRUDENTIALIST	phruu0 den0 chiial2 lis3
PRUDENTIALITY	phruu0 den0 chiial2 li3 tii2
PRUDENTIALLY	phruu0 den0 chiial2 lii2
PRUDENTIALS	phruu0 den0 chiial2
PRUDENTIALS	phruu0 den0 chiial2
PRUDENTLY	phruu0 den3 lii2
PRUDENTRUST	phruu0 den0 thras3
PRUDERIES	phruu0 dqq0 rii2
PRUDERY	phruu0 dqq0 rii2
PRUDES	phruut3
PRUDHOE	phruu0 doo0
PRUDIE	phruu0 dii2
PRUDISH	phruu0 dich1
PRUDISHLY	phruu0 dich3 lii2
PRUDISHNESS	phruu0 dich3 nees1
PRUDIST	phruu0 dis1
PRUDITY	phruu0 di1 tii2
PRUESS	phruus3
PRUNE	phruun0
PRUNED	phruun0
PRUNEDALE	phruun0 deel0
PRUNELL	phruun0 neel0
PRUNELLA	phruun0 neel0 laa2
PRUNELLE	phruun0 neel0
PRUNELLO	phruun0 neel0 loo2
PRUNER	phruun0 nqq2
PRUNERS	phruun0 nqq2
PRUNES	phruun0
PRUNETIN	phruun0 thin0
PRUNIFEROUS	phruun0 ni3 fqq0 rqqs2
PRUNIFORM	phruun0 ni3 f@@m0
PRUNIFORME	phruun0 ni3 f@@m0
PRUNING	phruun0 ning2
PRUNINGS	phruun0 ning2
PRUNITRIN	phruun0 ni3 thrin2
PRURIENCE	phruu0 riian2
PRURIENCY	phruu0 riian0 sii2
PRURIENT	phruu0 riian3
PRURIENTLY	phruu0 riian3 lii2
PRURIOUSNESS	phruu0 riias3 nees1
PRUSHING	phrach3 ching2
PRUSKI	phruu0 sa1 kii2
PRUSKIN	phruu0 sa1 kin0
PRY	phraaj0
PRYER	phraaj0 qq2
PRYERS	phraaj0 qq2
PRYING	phraaj0 ing2
PRYINGLY	phraaj0 ing0 lii2
PSALM	saam0
PSALMED	saam0
PSALMES	saam0
PSALMING	saam0 ming2
PSALMIST	saam0 mis3
PSALMISTER	saam0 mis3 tqq2
PSALMISTRY	saam0 mis3 thrii2
PSALMISTS	saam0 mis3
PSALMODIC	saam0 moo0 dik1
PSALMODICAL	saam0 moo0 di3 khal2
PSALMODIES	saam0 moo0 dii2
PSALMODIST	saam0 moo0 dis1
PSALMODY	saam0 moo0 dii2
PSALMS	saam0
PSALTER	s@@l0 tqq2
PSALTERIES	s@@l0 tqq0 rii2
PSALTERIST	s@@l0 tqq0 ris3
PSALTERS	s@@l0 tqq2
PSALTERY	s@@l0 tqq0 rii2
PSALTES	s@@l0
PSALTRIES	s@@l0 thraj3
PSALTRY	s@@l0 thrii2
PSALTY	s@@l0 tii2
PSEPHOLOGIST	sep3 foo0 loo0 cis3
PSEPHOLOGISTS	sep3 foo0 loo0 cis3
PSEPHOLOGY	sep3 foo0 loo0 cii2
PSEUD	siw0
PSEUDO	suu0 doo0
PSEUDOARISTOCRATIC	suu0 doo0 a1 ris3 too0 khree0 tik1
PSEUDOARTISTIC	suu0 doo0 aa0 thris3 tik1
PSEUDOBIOGRAPHICAL	suu0 doo0 baaj0 oo0 kraaf3 fi3 khal2
PSEUDOCLASSIC	suu0 doo0 khlaas3 sik1
PSEUDOCLASSICAL	suu0 doo0 khlaas3 si1 khal2
PSEUDOCLASSICISM	suu0 doo0 khlaas3 si1 sis3 svm2
PSEUDOHISTORIC	suu0 doo0 his3 th@@0 rik1
PSEUDOHISTORICAL	suu0 doo0 his3 th@@0 ri1 khal2
PSEUDOINTELLECTUAL	suu0 doo0 in0 theel0 lek3 chuual2
PSEUDOINTELLECTUALS	suu0 doo0 in0 theel0 lek3 chuual2
